learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.027497532,2.073993401825428E-9,1000.0,90.2,80.3773947587621,79.58333333333334,79.41176470588236,1000.0,1184.0,0.0,0.0
2000.0,0.120714862,9.778571102122466E-9,2000.0,91.5,82.94263608515439,82.68839103869654,81.93411264612116,2000.0,1184.0,0.0,0.0
3000.0,0.151569515,1.2395046442560852E-8,3000.0,91.56666666666666,83.0603044235147,83.166999334664,81.96721311475409,3000.0,1184.0,0.0,0.0
4000.0,0.200443376,1.664454437676817E-8,4000.0,91.57499999999999,83.05786017254839,83.14157078539269,81.82308522114347,4000.0,1184.0,0.0,0.0
5000.0,0.232350831,1.9487585888051738E-8,5000.0,91.60000000000001,83.09422666230445,83.20671731307478,81.83391003460208,5000.0,1184.0,0.0,0.0
6000.0,0.251452148,2.123048129895702E-8,6000.0,91.83333333333333,83.57556580499839,83.47943358057991,82.44985673352436,6000.0,1184.0,0.0,0.0
7000.0,0.273018332,2.324483568791921E-8,7000.0,91.78571428571428,83.48794090479683,83.50071736011478,82.4588163514338,7000.0,1184.0,0.0,0.0
8000.0,0.298113226,2.56425378181061E-8,8000.0,91.675,83.26094824466159,83.23262839879153,82.16389930369576,8000.0,1184.0,0.0,0.0
9000.0,0.323983515,2.8169740631038116E-8,9000.0,91.66666666666666,83.2486983121835,83.17253758133273,82.16833095577746,9000.0,1184.0,0.0,0.0
10000.0,0.348017534,3.056964165999244E-8,10000.0,91.75,83.41562533545667,83.38033843674457,82.36425823001282,10000.0,1184.0,0.0,0.0
11000.0,0.370936964,3.290734052337706E-8,11000.0,91.83636363636364,83.58259435894752,83.50780532598715,82.51217137293087,11000.0,1184.0,0.0,0.0
12000.0,0.393864944,3.52950241501381E-8,12000.0,91.95833333333333,83.82789799878198,83.73778227165486,82.78015703069237,12000.0,1184.0,0.0,0.0
13000.0,0.416799601,3.773253010588595E-8,13000.0,92.02307692307691,83.9600781205233,83.85992217898833,82.9356590422906,13000.0,1184.0,0.0,0.0
14000.0,0.439735898,4.0219340871293096E-8,14000.0,91.97857142857143,83.8774851305128,83.79275508731419,82.88892274874296,14000.0,1184.0,0.0,0.0
15000.0,0.46255317,4.274297221087954E-8,15000.0,91.89333333333335,83.7039610095825,83.58752868133352,82.707622298066,15000.0,1184.0,0.0,0.0
16000.0,0.485521435,4.5332502634452857E-8,16000.0,91.9375,83.79130462862385,83.69771262479465,82.79311724689877,16000.0,1184.0,0.0,0.0
17000.0,0.508623644,4.798662031926214E-8,17000.0,91.91176470588235,83.74087454410106,83.68146214099215,82.74780426599749,17000.0,1184.0,0.0,0.0
18000.0,0.531616878,5.0677470786091344E-8,18000.0,91.87222222222222,83.66164732089234,83.64997764863656,82.66587677725119,18000.0,1184.0,0.0,0.0
19000.0,0.554821009,5.3442706312601344E-8,19000.0,91.87894736842105,83.6798673235617,83.62343451496497,82.7211646136618,19000.0,1184.0,0.0,0.0
20000.0,0.577992399,5.625367418398252E-8,20000.0,91.84,83.597788012968,83.56329942592406,82.61054874800213,20000.0,1184.0,0.0,0.0
21000.0,0.601059559,5.910140852840203E-8,21000.0,91.84761904761905,83.61391062673536,83.56532590957089,82.63163234249771,21000.0,1184.0,0.0,0.0
22000.0,0.621416266,6.165926890966378E-8,22000.0,91.87272727272727,83.6653765514404,83.665265850539,82.69454123112659,22000.0,1184.0,0.0,0.0
23000.0,0.639844125,6.401423898222959E-8,23000.0,91.85652173913044,83.62884511225242,83.66474795046224,82.62684352100919,23000.0,1184.0,0.0,0.0
24000.0,0.658284679,6.641033183953E-8,24000.0,91.91666666666667,83.74516076399085,83.78875240244005,82.71252896096954,24000.0,1184.0,0.0,0.0
25000.0,0.676789868,6.885446200441569E-8,25000.0,91.92,83.7538498630662,83.79722467313708,82.73651824630373,25000.0,1184.0,0.0,0.0
26000.0,0.695122842,7.13151163385229E-8,26000.0,91.91923076923077,83.74936014555831,83.79608206077432,82.71208755039908,26000.0,1184.0,0.0,0.0
27000.0,0.713145159,7.377267880518403E-8,27000.0,91.9074074074074,83.72621308606114,83.76792214545723,82.6930693069307,27000.0,1184.0,0.0,0.0
28000.0,0.731800964,7.635658659404143E-8,28000.0,91.90357142857142,83.7236371435934,83.76074498567336,82.72235347915556,28000.0,1184.0,0.0,0.0
29000.0,0.750515726,7.898874798117205E-8,29000.0,91.92413793103448,83.76297405742196,83.76879894656594,82.75150979525702,29000.0,1184.0,0.0,0.0
30000.0,0.768913841,8.161578368384391E-8,30000.0,91.93333333333334,83.78167224952442,83.80295830265712,82.77089562864872,30000.0,1184.0,0.0,0.0
31000.0,0.787202373,8.426634701764004E-8,31000.0,91.92903225806451,83.77059304527916,83.77010897768552,82.74125681175416,31000.0,1184.0,0.0,0.0
32000.0,0.805500736,8.69575310223446E-8,32000.0,91.925,83.76213456324272,83.77801494130203,82.73535110576601,32000.0,1184.0,0.0,0.0
33000.0,0.823969799,8.971491073859441E-8,33000.0,91.92424242424242,83.7606815827239,83.77176957739617,82.7407551324396,33000.0,1184.0,0.0,0.0
34000.0,0.842138603,9.246638096144009E-8,34000.0,91.94411764705882,83.80076683397884,83.79865136637879,82.78224792557202,34000.0,1184.0,0.0,0.0
35000.0,0.859930559,9.519889271786022E-8,35000.0,91.94571428571429,83.80391545469537,83.79139834406624,82.78157830442218,35000.0,1184.0,0.0,0.0
36000.0,0.877775541,9.797777297590135E-8,36000.0,91.9361111111111,83.78359254840963,83.77940436944739,82.75616275616275,36000.0,1184.0,0.0,0.0
37000.0,0.895589963,1.0079005356730479E-7,37000.0,91.92432432432433,83.75874622644922,83.75557246928346,82.71933375744607,37000.0,1184.0,0.0,0.0
38000.0,0.913421228,1.0364318840253683E-7,38000.0,91.92894736842105,83.76854457639593,83.77076939358663,82.73863124718595,38000.0,1184.0,0.0,0.0
39000.0,0.926848646,1.0582043710205289E-7,39000.0,91.94871794871796,83.81063086306906,83.8002373213641,82.79734838108804,39000.0,1184.0,0.0,0.0
40000.0,0.938189071,1.0768357266045071E-7,40000.0,91.9725,83.85620468623057,83.85539745588014,82.83071329269596,40000.0,1184.0,0.0,0.0
41000.0,0.949502307,1.0956647472273764E-7,41000.0,91.99512195121952,83.90021748142628,83.88411490301989,82.87145764834821,41000.0,1184.0,0.0,0.0
42000.0,0.960841171,1.1147793046614981E-7,42000.0,92.00238095238096,83.917077152954,83.87886350547132,82.90585241730281,42000.0,1184.0,0.0,0.0
43000.0,0.973555264,1.1364845037645555E-7,43000.0,92.01627906976744,83.93969430771126,83.8856552760045,82.8888999651099,43000.0,1184.0,0.0,0.0
44000.0,0.984912212,1.1561160875835971E-7,44000.0,92.025,83.9583738107434,83.88592946362968,82.92041859333172,44000.0,1184.0,0.0,0.0
45000.0,0.996601538,1.1765726092086689E-7,45000.0,92.0288888888889,83.96298340827741,83.89312977099237,82.90357942900721,45000.0,1184.0,0.0,0.0
46000.0,1.008440975,1.1975454333703548E-7,46000.0,92.02391304347826,83.9527716493953,83.89305939681284,82.8935098843715,46000.0,1184.0,0.0,0.0
47000.0,1.019723955,1.2177742148271035E-7,47000.0,92.0127659574468,83.9299011061463,83.86556066531998,82.86392477290364,47000.0,1184.0,0.0,0.0
48000.0,1.031067153,1.238353934665976E-7,48000.0,92.00625,83.91494245043506,83.859840996088,82.83682232957595,48000.0,1184.0,0.0,0.0
49000.0,1.042364799,1.2591072736261617E-7,49000.0,91.99795918367347,83.89881706198132,83.83626020281969,82.81845668463258,49000.0,1184.0,0.0,0.0
50000.0,1.05368919,1.2801523153200328E-7,50000.0,92.002,83.90861599125576,83.84242424242423,82.8361732263187,50000.0,1184.0,0.0,0.0
51000.0,1.065111717,1.301624406483293E-7,51000.0,91.98039215686275,83.8639914895818,83.77563568566782,82.78184726782858,51000.0,1184.0,0.0,0.0
52000.0,1.076431135,1.3231451398023503E-7,52000.0,91.97884615384615,83.85939872008005,83.76284646527562,82.76944685421572,52000.0,1184.0,0.0,0.0
53000.0,1.087766245,1.344938509914506E-7,53000.0,91.93584905660377,83.77454433600352,83.68577754027024,82.69145101850725,53000.0,1184.0,0.0,0.0
54000.0,1.099095604,1.3669635025258895E-7,54000.0,91.9462962962963,83.79614757413896,83.714660175997,82.71668719945951,54000.0,1184.0,0.0,0.0
55000.0,1.110496312,1.3893714100642538E-7,55000.0,91.95818181818181,83.82032859501604,83.73897058823529,82.73951219512195,55000.0,1184.0,0.0,0.0
56000.0,1.121932397,1.4120938162599375E-7,56000.0,91.97142857142858,83.84665501081251,83.76836708906458,82.77064571757042,56000.0,1184.0,0.0,0.0
57000.0,1.133335389,1.4349947267013493E-7,57000.0,91.96842105263158,83.8405631959993,83.75212947189097,82.76679841897233,57000.0,1184.0,0.0,0.0
58000.0,1.144780147,1.4582246683462001E-7,58000.0,92.0,83.90301353195753,83.81583536798047,82.82499259697957,58000.0,1184.0,0.0,0.0
59000.0,1.156405311,1.4820698040746356E-7,59000.0,92.00847457627118,83.91650992396866,83.81782613172254,82.81893379003752,59000.0,1184.0,0.0,0.0
60000.0,1.167921129,1.5059373267057246E-7,60000.0,92.00166666666667,83.90262230766216,83.79920329484844,82.8072940923584,60000.0,1184.0,0.0,0.0
61000.0,1.179276714,1.529715994062854E-7,61000.0,92.00491803278689,83.90875223961328,83.82421227197347,82.81233480176212,61000.0,1184.0,0.0,0.0
62000.0,1.190751712,1.5539905122706457E-7,62000.0,92.0016129032258,83.90165850542917,83.81474591207284,82.80513176144244,62000.0,1184.0,0.0,0.0
63000.0,1.20233224,1.5787363312323058E-7,63000.0,92.0,83.89823234965125,83.82126348228044,82.79746057751383,63000.0,1184.0,0.0,0.0
64000.0,1.213635357,1.6031314827768336E-7,64000.0,92.021875,83.94222457373463,83.86321977119019,82.84216539534258,64000.0,1184.0,0.0,0.0
65000.0,1.225002222,1.627907702579742E-7,65000.0,92.02615384615385,83.95143579998393,83.87769068060221,82.85931609233414,65000.0,1184.0,0.0,0.0
66000.0,1.236343466,1.6528710107960425E-7,66000.0,92.04242424242425,83.98481975735005,83.92556545159613,82.9014194556583,66000.0,1184.0,0.0,0.0
67000.0,1.247714358,1.6781431467497305E-7,67000.0,92.01940298507463,83.93979634946827,83.88729847822812,82.86382719610293,67000.0,1184.0,0.0,0.0
68000.0,1.258982564,1.703428429798347E-7,68000.0,92.0235294117647,83.94675760959866,83.88639672024004,82.86688988565291,68000.0,1184.0,0.0,0.0
69000.0,1.270249478,1.728952155685611E-7,69000.0,92.0231884057971,83.94525570283223,83.89465983906364,82.8610574827178,69000.0,1184.0,0.0,0.0
70000.0,1.281489946,1.7546567471418321E-7,70000.0,91.99857142857142,83.8969448367184,83.84761794901372,82.81743718747124,70000.0,1184.0,0.0,0.0
71000.0,1.292729497,1.780599997505711E-7,71000.0,92.00140845070422,83.90260404939642,83.85041945115881,82.82473915015878,71000.0,1184.0,0.0,0.0
72000.0,1.304048843,1.8069698966681955E-7,72000.0,92.03055555555557,83.96093964230403,83.91725993609508,82.88543561905331,72000.0,1184.0,0.0,0.0
73000.0,1.315314578,1.8334562187504643E-7,73000.0,92.03013698630137,83.96096959045695,83.91662520042019,82.89226064455423,73000.0,1184.0,0.0,0.0
74000.0,1.326601524,1.860255670864818E-7,74000.0,92.01891891891893,83.93887483942845,83.88847969010013,82.8752029691487,74000.0,1184.0,0.0,0.0
75000.0,1.338487549,1.888732165333256E-7,75000.0,92.03066666666668,83.96242727013092,83.92069299472722,82.89842632331904,75000.0,1184.0,0.0,0.0
76000.0,1.353240587,1.9243934551379333E-7,76000.0,92.02763157894736,83.9557896090181,83.90789333899924,82.88659793814432,76000.0,1184.0,0.0,0.0
77000.0,1.364574593,1.9520329828600089E-7,77000.0,92.04285714285714,83.98566569233897,83.93002334303773,82.91601606067364,77000.0,1184.0,0.0,0.0
78000.0,1.375889383,1.9798680172763765E-7,78000.0,92.0397435897436,83.97820662933961,83.92450289975146,82.8981435575387,78000.0,1184.0,0.0,0.0
79000.0,1.387193585,2.007919145349289E-7,79000.0,92.05569620253165,84.01074824048186,83.94720687538367,82.93545054108435,79000.0,1184.0,0.0,0.0
80000.0,1.398653277,2.0366015898363046E-7,80000.0,92.04875,83.99523102670776,83.94011310846294,82.9088075662314,80000.0,1184.0,0.0,0.0
81000.0,1.409925029,2.0650550852558267E-7,81000.0,92.03456790123457,83.96723476245822,83.90621102519331,82.88140090209603,81000.0,1184.0,0.0,0.0
82000.0,1.42122139,2.0938126744247974E-7,82000.0,92.02682926829269,83.95224651980608,83.89694835102584,82.87181368054283,82000.0,1184.0,0.0,0.0
83000.0,1.43255031,2.122895820532491E-7,83000.0,92.0421686746988,83.9810019062729,83.93256787000098,82.88860103626943,83000.0,1184.0,0.0,0.0
84000.0,1.443875355,2.152211606108149E-7,84000.0,92.06071428571428,84.01642304913625,83.96797922977066,82.91183027135061,84000.0,1184.0,0.0,0.0
85000.0,1.455202396,2.1817751884562897E-7,85000.0,92.05882352941175,84.01303759061742,83.96179342789935,82.91182501708818,85000.0,1184.0,0.0,0.0
86000.0,1.466544563,2.2116212036435185E-7,86000.0,92.06046511627906,84.01629928522212,83.97521650355559,82.91633306645315,86000.0,1184.0,0.0,0.0
87000.0,1.477882405,2.2416986992640423E-7,87000.0,92.06551724137931,84.02644595673343,83.98784532949828,82.92773408517584,87000.0,1184.0,0.0,0.0
88000.0,1.489156901,2.2718496524297324E-7,88000.0,92.07386363636364,84.04233571973296,84.01146131805159,82.94162244124338,88000.0,1184.0,0.0,0.0
89000.0,1.500409293,2.3021825246679908E-7,89000.0,92.07191011235955,84.03629703289627,84.00507775309424,82.92311043345674,89000.0,1184.0,0.0,0.0
90000.0,1.511692556,2.3328403075334307E-7,90000.0,92.08555555555556,84.06443465940195,84.03487538102922,82.9552524527399,90000.0,1184.0,0.0,0.0
91000.0,1.522939914,2.363641455954624E-7,91000.0,92.08241758241759,84.05713145199371,84.02226460282965,82.93866919251718,91000.0,1184.0,0.0,0.0
92000.0,1.534207827,2.3947402581359574E-7,92000.0,92.09673913043478,84.08617317669518,84.04572782726993,82.97109934891563,92000.0,1184.0,0.0,0.0
93000.0,1.545477979,2.426086651211046E-7,93000.0,92.10000000000001,84.09275197649532,84.04456316372404,82.97768819072775,93000.0,1184.0,0.0,0.0
94000.0,1.556751585,2.4576841364833836E-7,94000.0,92.10425531914893,84.10146659738886,84.04694351302552,82.98954895489547,94000.0,1184.0,0.0,0.0
95000.0,1.568050098,2.4895934495878717E-7,95000.0,92.11263157894737,84.11907596199791,84.06727763720258,83.01138167142793,95000.0,1184.0,0.0,0.0
96000.0,1.57932697,2.521683199404925E-7,96000.0,92.109375,84.11247423033271,84.05431007262393,83.00388162175504,96000.0,1184.0,0.0,0.0
97000.0,1.590625147,2.554075586952083E-7,97000.0,92.10618556701031,84.10581251447911,84.05555671240865,82.99615820212743,97000.0,1184.0,0.0,0.0
98000.0,1.60190967,2.5866705470732723E-7,98000.0,92.09897959183674,84.09098471203875,84.03965865523355,82.97792824481182,98000.0,1184.0,0.0,0.0
99000.0,1.613209,2.619550313094817E-7,99000.0,92.09191919191919,84.07778593054674,84.02310109791436,82.96895734081664,99000.0,1184.0,0.0,0.0
100000.0,1.624467181,2.652551495159976E-7,100000.0,92.098,84.08928611004725,84.04989705704251,82.97753172055751,100000.0,1184.0,0.0,0.0
101000.0,1.63576913,2.685923067144925E-7,101000.0,92.10000000000001,84.09282421411984,84.04774281258747,82.97813333333333,101000.0,1184.0,0.0,0.0
102000.0,1.647062435,2.719511023083577E-7,102000.0,92.10098039215686,84.09577425526642,84.04901902555879,82.98559783756387,102000.0,1184.0,0.0,0.0
103000.0,1.658543996,2.753904820002305E-7,103000.0,92.09126213592232,84.07572015544653,84.03183439840043,82.96314886853222,103000.0,1184.0,0.0,0.0
104000.0,1.669965525,2.7883634409210954E-7,104000.0,92.09326923076922,84.07945703083443,84.04075691411936,82.96810273405136,104000.0,1184.0,0.0,0.0
105000.0,1.68132057,2.8228647102047996E-7,105000.0,92.09428571428572,84.0818565994847,84.04758244292412,82.97405394318533,105000.0,1184.0,0.0,0.0
106000.0,1.692708403,2.857709534994885E-7,106000.0,92.09622641509434,84.08584576354981,84.05283995736256,82.98053873969042,106000.0,1184.0,0.0,0.0
107000.0,1.704088805,2.8927753951753176E-7,107000.0,92.1018691588785,84.09811294209378,84.06163363068856,83.00008046346957,107000.0,1184.0,0.0,0.0
108000.0,1.715437395,2.927986326195796E-7,108000.0,92.10277777777777,84.09973481951141,84.06598539055055,83.00183354591837,108000.0,1184.0,0.0,0.0
109000.0,1.726899743,2.9637957390623785E-7,109000.0,92.08990825688073,84.07390317907071,84.04928404928405,82.97662296635603,109000.0,1184.0,0.0,0.0
110000.0,1.73834774,2.9998379981915776E-7,110000.0,92.08,84.05417736405535,84.04191013499899,82.95974650862574,110000.0,1184.0,0.0,0.0
111000.0,1.74995137,3.036618798521306E-7,111000.0,92.08828828828828,84.07070313393142,84.06112744564231,82.97732118627641,111000.0,1184.0,0.0,0.0
112000.0,1.761612745,3.073832428572037E-7,112000.0,92.08392857142857,84.06186103758985,84.05797101449276,82.96834178576917,112000.0,1184.0,0.0,0.0
113000.0,1.774245129,3.114415321027032E-7,113000.0,92.08672566371682,84.06768981005567,84.0628787338704,82.97572584483581,113000.0,1184.0,0.0,0.0
114000.0,1.79106568,3.1688134537410197E-7,114000.0,92.0780701754386,84.0501408861618,84.04388770119614,82.95941279695077,114000.0,1184.0,0.0,0.0
115000.0,1.808394295,3.2252258658486314E-7,115000.0,92.0704347826087,84.03567133892686,84.03452562284434,82.95004113379704,115000.0,1184.0,0.0,0.0
116000.0,1.819855409,3.262782433035783E-7,116000.0,92.0698275862069,84.03487085684166,84.03450310666805,82.95029098861994,116000.0,1184.0,0.0,0.0
117000.0,1.831198352,3.300194739951007E-7,117000.0,92.07350427350427,84.04311790256705,84.04939630559663,82.96473181484203,117000.0,1184.0,0.0,0.0
118000.0,1.84260121,3.3380489178650285E-7,118000.0,92.07203389830508,84.040566907215,84.04318829208385,82.96427140619879,118000.0,1184.0,0.0,0.0
119000.0,1.854038737,3.3762631834165706E-7,119000.0,92.06974789915967,84.03650198303643,84.04105998342717,82.96570397111913,119000.0,1184.0,0.0,0.0
120000.0,1.86530049,3.4141313966390155E-7,120000.0,92.0675,84.03228761021414,84.03789720801544,82.96558758791002,120000.0,1184.0,0.0,0.0
121000.0,1.876598297,3.4523628470194833E-7,121000.0,92.08264462809917,84.06319502044562,84.07050216162288,83.0006210629048,121000.0,1184.0,0.0,0.0
122000.0,1.888229195,3.491970606369649E-7,122000.0,92.07868852459016,84.05487431220408,84.06700300062651,82.98980867055077,122000.0,1184.0,0.0,0.0
123000.0,1.899667164,3.5311663730645345E-7,123000.0,92.0869918699187,84.0712740599664,84.08105853682471,83.00625065474736,123000.0,1184.0,0.0,0.0
124000.0,1.910978554,3.5701706720692004E-7,124000.0,92.08387096774193,84.06529311602971,84.07863364313172,83.0017143747727,124000.0,1184.0,0.0,0.0
125000.0,1.926930777,3.625519344073079E-7,125000.0,92.0768,84.05036921641836,84.0687181301977,82.98311025583753,125000.0,1184.0,0.0,0.0
