learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.063706039,5.582507694138007E-9,1000.0,90.2,80.21840495750995,80.5940594059406,78.07606263982103,443.0,1824.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.205344103,1.8630530482503688E-8,2000.0,86.95,73.66418914964594,74.26035502958581,71.5686274509804,301.0,1824.0,1.0,51.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.264876586,2.4114552720547136E-8,3000.0,85.66666666666667,71.32716548804277,71.91378184193339,70.74829931972789,999.0,1824.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.308067638,2.809314316731567E-8,4000.0,85.375,70.74697231163427,71.23893805309736,70.46945986875316,291.0,1824.0,1.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.332348677,3.032986757605233E-8,5000.0,84.88,69.75313275125986,70.37617554858934,68.97825194911778,989.0,1824.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.374494408,3.421042264793896E-8,6000.0,84.88333333333333,69.74094647116715,70.33038927052665,68.77796901893288,281.0,1824.0,1.0,39.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.40369896,3.6900691968976626E-8,7000.0,84.51428571428572,69.02808599122534,69.6783216783217,68.63425925925927,979.0,1824.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.442436405,4.046702931141274E-8,8000.0,84.6125,69.22399593286731,69.84321411073003,68.98463088939279,271.0,1824.0,1.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.473293008,4.330948251536323E-8,9000.0,84.35555555555555,68.71032771042711,69.37799043062199,68.20952811018289,969.0,1824.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.506578967,4.637427683628889E-8,10000.0,85.05,70.09486827939675,70.7665232694564,69.50224398204816,1969.0,1824.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
