learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.027973847,2.5404253071380987E-9,1000.0,89.4,78.68986924425431,78.75751503006012,76.80525164113786,1000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.107866832,1.0145394252509706E-8,2000.0,91.14999999999999,82.10494388838337,82.3,80.22346368715083,2000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.147003835,1.3870823868513106E-8,3000.0,91.9,83.66496369991934,83.94980184940557,82.32727272727274,3000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.209953842,1.98704261887177E-8,4000.0,91.2,82.24657042324026,82.48756218905474,80.74398249452955,525.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.248167825,2.3512502051728468E-8,5000.0,91.08000000000001,81.9974179615071,82.18849840255592,80.51550895587593,1525.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.29576155,2.8110198013788712E-8,6000.0,91.03333333333333,81.89412370082765,82.11436170212765,80.37928519328956,2525.0,6760.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.330484986,3.150447004557277E-8,7000.0,90.98571428571428,81.82334147970263,81.93012600229093,80.38545228473733,3525.0,10344.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
8000.0,0.359522802,3.435943005771066E-8,8000.0,91.2625,82.38188585654848,82.41066935078007,80.99510603588908,4525.0,11968.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
9000.0,0.387546451,3.712784402385354E-8,9000.0,91.46666666666667,82.80906964833802,82.77254374158815,81.50734408861064,5525.0,13760.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
10000.0,0.411969365,3.954160827867687E-8,10000.0,91.71000000000001,83.29059434207028,83.27954820492135,82.00564358584764,6525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
11000.0,0.435751297,4.189202303148806E-8,11000.0,91.89090909090909,83.6510007863582,83.66898571951666,82.37850651916239,7525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
12000.0,0.458379696,4.412843186665326E-8,12000.0,92.15,84.18393778142453,84.22903063787042,83.02090843547224,8525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
13000.0,0.480845331,4.634875441804528E-8,13000.0,92.38461538461539,84.65594698773945,84.71278567016678,83.50824587706148,9525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
14000.0,0.503225259,4.856060637935996E-8,14000.0,92.51428571428572,84.91251479749945,84.98567335243553,83.76452362509683,10525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
15000.0,0.52526016,5.0738358648903665E-8,15000.0,92.69333333333334,85.27957630394302,85.36715620827772,84.2052168900418,11525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
16000.0,0.547098629,5.289669716052711E-8,16000.0,92.83125,85.55415890034782,85.63736538943151,84.49580967829142,12525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
17000.0,0.568766902,5.503821486931294E-8,17000.0,92.88823529411765,85.67267012437263,85.724406659582,84.65151707502856,13525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
18000.0,0.590471603,5.718333282843232E-8,18000.0,92.96111111111112,85.822456423356,85.90342679127727,84.8372426998564,14525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
19000.0,0.612232339,5.933398883596062E-8,19000.0,93.06315789473685,86.02293272717299,86.09411268200043,85.01591632560256,15525.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
20000.0,0.636217596,6.171452588040796E-8,20000.0,93.11500000000001,86.12465561032472,86.17192207270537,85.10868389748028,16525.0,15520.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
21000.0,0.659896818,6.406591411377407E-8,21000.0,93.1952380952381,86.28665553806076,86.34756854877233,85.28624382207579,17525.0,15720.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
22000.0,0.682269454,6.62875560680487E-8,22000.0,93.21363636363637,86.32714607901296,86.39511572808458,85.34550451511582,18525.0,15720.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
23000.0,0.704071466,6.845253405932337E-8,23000.0,93.25217391304348,86.4023807962366,86.4808362369338,85.41764540073288,19525.0,15720.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
24000.0,0.725781777,7.060840598062715E-8,24000.0,93.25416666666668,86.41037478490789,86.49257467044886,85.45372866127585,20525.0,15720.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
25000.0,0.747734411,7.278834100040917E-8,25000.0,93.30000000000001,86.50010422725501,86.59356491115736,85.53665486572835,21525.0,15720.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
26000.0,0.772151942,7.522451597932105E-8,26000.0,93.31153846153846,86.52798875738105,86.61277906081601,85.58760152494612,22525.0,17512.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
27000.0,0.795786538,7.759240809100162E-8,27000.0,93.31111111111112,86.52945082724123,86.6162738995109,85.60612098509604,23525.0,19096.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
28000.0,0.817950258,7.981293674964664E-8,28000.0,93.34642857142858,86.5989220132174,86.67000572409846,85.66702569626096,24525.0,19096.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
29000.0,0.839997824,8.202182822437956E-8,29000.0,93.32413793103449,86.55057224627313,86.60578386605783,85.59309421044797,25525.0,19096.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
30000.0,0.861863413,8.421248787053342E-8,30000.0,93.32000000000001,86.53952400774631,86.60785886126705,85.5640397637228,26525.0,19096.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
31000.0,0.883675695,8.63978068193131E-8,31000.0,93.34838709677419,86.60115243252741,86.66149168769,85.64766478735991,27525.0,19096.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
32000.0,0.907171074,8.876157360827135E-8,32000.0,93.375,86.65204772069232,86.71679197994987,85.68438111958943,28525.0,20688.0,0.0,0.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
33000.0,0.929149982,9.097277491674861E-8,33000.0,93.41818181818182,86.73733593957253,86.79554988145178,85.7639116471128,29525.0,20688.0,0.0,0.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
34000.0,0.952663898,9.334740957077385E-8,34000.0,93.46470588235294,86.83364512075448,86.8753691671589,85.88847961387019,30525.0,22144.0,0.0,0.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
35000.0,0.97142679,9.524306099645172E-8,35000.0,93.5,86.90386388399968,86.93504852696262,85.95679012345681,31525.0,22312.0,0.0,0.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
36000.0,0.985084332,9.662364390339081E-8,36000.0,93.5638888888889,87.03431568283364,87.05297273133662,86.10411418975652,32525.0,22520.0,0.0,0.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
37000.0,0.999190997,9.804962674663712E-8,37000.0,93.58648648648649,87.07963367958914,87.11306614532421,86.14872752743405,33525.0,22520.0,0.0,0.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
38000.0,1.016008339,9.975665107751058E-8,38000.0,93.59473684210526,87.09418951338517,87.12782272991697,86.14841793762804,34525.0,24112.0,0.0,0.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
39000.0,1.030177367,1.0119486144041021E-7,39000.0,93.59487179487179,87.09673355363515,87.14028314028313,86.15606295721568,35525.0,24112.0,0.0,0.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
40000.0,1.043758841,1.0257343283219884E-7,40000.0,93.63,87.16848935514018,87.217177544775,86.23446785521341,36525.0,24112.0,0.0,0.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
41000.0,1.057327409,1.0395069421578199E-7,41000.0,93.66097560975611,87.23120046717374,87.2859798454163,86.29797553774779,37525.0,24112.0,0.0,0.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
42000.0,1.072496823,1.0549688348648863E-7,42000.0,93.69047619047619,87.29025076862807,87.35506036169299,86.35638160943212,38525.0,25728.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
43000.0,1.086201796,1.0689440073689033E-7,43000.0,93.73023255813953,87.37136272440884,87.43709226467847,86.4427235240873,39525.0,25896.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
44000.0,1.10062748,1.0836541000037765E-7,44000.0,93.74090909090908,87.39387837221113,87.45558895873188,86.46816037735849,40525.0,25896.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
45000.0,1.114292675,1.0976031338657564E-7,45000.0,93.77111111111111,87.45765473148354,87.52059124705045,86.54861311066323,41525.0,26304.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
46000.0,1.128094931,1.1116920756127065E-7,46000.0,93.81086956521739,87.53749585349243,87.59585221331474,86.62940872587235,42525.0,26304.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
47000.0,1.142046579,1.1259335123710127E-7,47000.0,93.82765957446809,87.57390535690946,87.62107958182206,86.68105229328313,43525.0,26304.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
48000.0,1.155919138,1.1400942173769284E-7,48000.0,93.84166666666667,87.6034445062385,87.6411071159796,86.71400961840982,44525.0,26304.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
49000.0,1.169851006,1.1543154632861623E-7,49000.0,93.8469387755102,87.61495120977368,87.6606368175493,86.72683248954435,45525.0,26304.0,0.0,0.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
50000.0,1.185692129,1.1705518466599493E-7,50000.0,93.882,87.68481533302086,87.7266891349703,86.79188255613126,46525.0,27896.0,0.0,0.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
51000.0,1.200849615,1.1861505889792203E-7,51000.0,93.8921568627451,87.70446595065125,87.7497247129149,86.80587911389725,47525.0,29480.0,0.0,0.0,33.0,17.0,17.0,7.0,0.0,0.0,1.0
52000.0,1.214589466,1.2002904268952295E-7,52000.0,93.91923076923077,87.75967061061,87.80468991052143,86.86495243633946,48525.0,29480.0,0.0,0.0,33.0,17.0,17.0,7.0,0.0,0.0,1.0
53000.0,1.229739011,1.2159446448180826E-7,53000.0,93.95094339622642,87.82435546089066,87.86203763298376,86.93455049311272,49525.0,31080.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
54000.0,1.244538762,1.2312527309674357E-7,54000.0,93.98333333333333,87.8907250681496,87.92552400773003,87.01179292424544,50525.0,31480.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
55000.0,1.258976658,1.2461865332850153E-7,55000.0,93.99090909090908,87.90669143071116,87.93531430240199,87.03056939920731,51525.0,31480.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
56000.0,1.272862101,1.2605489071969771E-7,56000.0,94.02678571428571,87.97792556135342,87.99741648426567,87.09689862675512,52525.0,31480.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
57000.0,1.286768716,1.274933180315213E-7,57000.0,94.03859649122806,88.00195441661954,88.01791318452695,87.12147053249952,53525.0,31480.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
58000.0,1.300564967,1.289203298700725E-7,58000.0,94.07068965517242,88.06800942938682,88.08509163981569,87.20276857812675,54525.0,31480.0,0.0,0.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
