learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.04497229,3.9812792190868E-9,1000.0,87.0,73.88435994584017,74.15506958250498,72.1627408993576,401.0,1824.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.154771568,1.452254465183864E-8,2000.0,89.2,78.28979901982464,78.57142857142857,77.02127659574468,1401.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.202310801,1.9188668737957875E-8,3000.0,90.2,80.29152455112943,80.6833114323259,79.11931818181819,2401.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.267004759,2.5202917920785645E-8,4000.0,88.925,77.72184491286124,78.37969741337237,76.38592750533049,1.0,1632.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.314082696,2.9602007385392985E-8,5000.0,86.8,73.54734440187259,74.12779302234418,72.57997507270461,201.0,1824.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.343278501,3.239268082245563E-8,6000.0,87.58333333333333,75.14761317009709,75.62172774869109,74.60804362644853,1201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.381963884,3.6173278819788243E-8,7000.0,88.32857142857144,76.65220265381868,77.10843373493978,76.40092432120163,2201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.414959756,3.924045434819534E-8,8000.0,88.0125,76.02529668695351,76.57547630679045,75.86206896551725,1.0,1600.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.450117421,4.2525681432417275E-8,9000.0,86.6888888888889,73.36988737403675,73.92250761863299,73.05443094916781,201.0,1824.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.486092162,4.5964317706152785E-8,10000.0,87.17,74.32606829770107,74.8529988239906,73.91746289896321,1201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.51493264,4.8782804817135124E-8,11000.0,87.7,75.38207000880773,75.90382902938556,74.9212233549583,2201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.538571635,5.098039499026412E-8,12000.0,87.6,75.17379732230718,75.76152467828638,74.59883919426426,1.0,1632.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.566189811,5.356111187837396E-8,13000.0,86.62307692307692,73.23237659790529,73.82994732881866,72.79837322071016,201.0,1824.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.58799285,5.564514969766139E-8,14000.0,86.93571428571428,73.86420549124004,74.40884287113474,73.55025307302964,1201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.610281441,5.782334197503824E-8,15000.0,87.35333333333334,74.703703964475,75.2414513181937,74.50268817204302,2201.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.634600243,6.008392882585939E-8,16000.0,87.3375,74.67510288239454,75.2504275592475,74.54454077145371,1.0,1600.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.667389738,6.316191500977716E-8,17000.0,86.49411764705881,72.98571819868393,73.58794432301852,72.74453941120608,401.0,1824.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.690079555,6.534043578168791E-8,18000.0,86.7388888888889,73.47357743338469,74.04023926046764,73.19483436271756,1401.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.712373305,6.752868306095195E-8,19000.0,87.05263157894737,74.09912874101762,74.66529351184346,73.78237237557285,2401.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.735373869,6.983600439426593E-8,20000.0,87.265,74.51968454909287,75.12452387928509,74.12111359479782,3401.0,1888.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
