learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.088490775,6.578974654121945E-9,1000.0,46.5,34.349545109838736,34.51652386780906,29.882044560943648,25.0,21848.0,16.0,0.0
2000.0,0.176772864,1.3385254661558816E-8,2000.0,48.6,36.46534069997519,38.18400481058328,31.78500331785003,49.0,22168.0,16.0,0.0
3000.0,0.228528442,1.7371167445946483E-8,3000.0,49.4,37.342961842496656,38.04081632653061,32.53333333333333,12.0,21848.0,17.0,0.0
4000.0,0.279411148,2.129406900497153E-8,4000.0,49.175000000000004,37.28568721645238,37.599754450583184,32.8377931945821,36.0,22168.0,16.0,0.0
5000.0,0.317548369,2.4231175354067233E-8,5000.0,49.28,37.341872232764075,37.79740004905568,32.696390658174096,60.0,21848.0,16.0,0.0
6000.0,0.351419861,2.6842564158218185E-8,6000.0,49.31666666666666,37.42111831815843,38.06517311608961,32.9141848665343,23.0,22168.0,17.0,0.0
7000.0,0.392080486,2.9974008367163024E-8,7000.0,49.24285714285715,37.36820024044406,38.02546659689517,33.06330067822156,47.0,21848.0,16.0,0.0
8000.0,0.430368975,3.2910085763295904E-8,8000.0,49.3125,37.437848871018346,38.11050061050061,33.218050065876156,10.0,20568.0,17.0,0.0
9000.0,0.464923789,3.557129601747832E-8,9000.0,49.288888888888884,37.3871605388265,38.090070537167655,33.069365009532184,34.0,21848.0,16.0,0.0
10000.0,0.499301368,3.821885666557691E-8,10000.0,48.77,36.81347635466671,37.41754214512583,32.35177604648092,58.0,21848.0,16.0,0.0
11000.0,0.533233735,4.0834938746701095E-8,11000.0,48.64545454545455,36.889809906692115,37.21938208490776,31.972543352601157,21.0,22168.0,17.0,0.0
12000.0,0.567401206,4.346914662970644E-8,12000.0,48.74166666666667,37.14931421380027,37.40714358400326,31.965490543081522,45.0,22168.0,16.0,0.0
13000.0,0.601068478,4.6034132383600294E-8,13000.0,48.96923076923077,37.57820593023836,37.61519653940192,32.23697650663943,8.0,18648.0,17.0,0.0
14000.0,0.634185629,4.858736379563188E-8,14000.0,48.964285714285715,37.68362709473781,37.62549105194238,32.210626185958255,32.0,22168.0,16.0,0.0
15000.0,0.667606222,5.116398966107311E-8,15000.0,49.10666666666666,37.88291027857684,37.83387622149837,32.26865406796202,56.0,22168.0,16.0,0.0
16000.0,0.701343156,5.376500445351212E-8,16000.0,49.275000000000006,38.06041259074559,37.988997555012226,32.28201919065499,19.0,22168.0,17.0,0.0
17000.0,0.734468273,5.631885001986599E-8,17000.0,49.35294117647059,38.16379107594383,37.97276853252647,32.26339391078593,43.0,22168.0,16.0,0.0
18000.0,0.767964071,5.885968010449783E-8,18000.0,49.48888888888889,38.335203782414965,38.1580737314651,32.39143367043427,6.0,17368.0,17.0,0.0
19000.0,0.802213571,6.150021217340604E-8,19000.0,49.55789473684211,38.43810172499214,38.13980507325889,32.45471844386497,30.0,22168.0,16.0,0.0
20000.0,0.836783987,6.416262400263921E-8,20000.0,49.595,38.462843272959134,38.232951412290916,32.40126064507477,54.0,21848.0,16.0,0.0
21000.0,0.871545892,6.68426609354073E-8,21000.0,49.51904761904762,38.43489518581074,38.12525535516255,32.52927698574338,17.0,22168.0,17.0,0.0
22000.0,0.905696103,6.947553812501539E-8,22000.0,49.722727272727276,38.72232226901776,38.38569518716577,33.00423985463355,41.0,22168.0,16.0,0.0
23000.0,0.940509681,7.210191858443329E-8,23000.0,49.83913043478261,38.93435434922871,38.5479919036966,33.511987090825265,4.0,15768.0,17.0,0.0
24000.0,0.975401495,7.479197110518193E-8,24000.0,49.833333333333336,38.94210967368031,38.49297573435504,33.71868978805396,28.0,22168.0,16.0,0.0
25000.0,1.010534565,7.750062372826247E-8,25000.0,49.903999999999996,39.03114463996154,38.598813551012405,33.96952601887488,52.0,22168.0,16.0,0.0
26000.0,1.046903954,8.027448466013083E-8,26000.0,49.96153846153846,39.07980519405264,38.634970048582616,34.16991347467489,15.0,18968.0,17.0,0.0
27000.0,1.083837836,8.311891685719499E-8,27000.0,49.992592592592594,39.11585395696504,38.66630326156082,34.34156778836802,39.0,21848.0,16.0,0.0
28000.0,1.1202433,8.585627447482821E-8,28000.0,50.05357142857143,39.19463661104253,38.74556524024353,34.609809697479776,2.0,14800.0,17.0,0.0
29000.0,1.156444936,8.864731027987476E-8,29000.0,50.1,39.25374488035418,38.70817450232952,34.85053124437241,26.0,22168.0,16.0,0.0
30000.0,1.194067178,9.154787047798642E-8,30000.0,50.07333333333334,39.20258412966224,38.705189065313476,34.90656236418948,50.0,22168.0,16.0,0.0
