learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.087489285,7.2693500355196495E-9,1000.0,82.6,78.69907671515278,78.24999999999999,76.54986522911051,1000.0,22168.0,0.0,0.0
2000.0,0.210499175,1.8000234742721337E-8,2000.0,85.2,81.97517933478669,81.8181818181818,80.31914893617021,135.0,21848.0,1.0,2.0
3000.0,0.269153064,2.3402108622062953E-8,3000.0,83.73333333333333,80.23050101500982,79.8263745349318,78.18506928922663,1135.0,21848.0,0.0,2.0
4000.0,0.340686503,3.0043452838073593E-8,4000.0,84.05,80.56839574441776,80.19863438857853,78.5546218487395,2135.0,21848.0,0.0,9.0
5000.0,0.376427885,3.316138627836895E-8,5000.0,83.39999999999999,79.8268992403199,79.33266932270917,78.09448403272631,1059.0,21848.0,1.0,0.0
6000.0,0.405422221,3.5690734746023606E-8,6000.0,83.85000000000001,80.38104372847364,79.90043559427505,78.92561983471074,53.0,21848.0,1.0,1.0
7000.0,0.439845699,3.869369957786675E-8,7000.0,82.98571428571428,79.34391650591533,78.90541976620617,77.93218454697055,1053.0,21848.0,0.0,0.0
8000.0,0.474316821,4.170082067934797E-8,8000.0,83.2,79.6154845647869,79.2624594969912,78.24538685658788,2053.0,21848.0,0.0,0.0
9000.0,0.509148018,4.4742236739583324E-8,9000.0,82.73333333333333,79.12218350254227,78.70065789473685,77.87270397266126,980.0,22168.0,1.0,3.0
10000.0,0.542750198,4.767633659009719E-8,10000.0,83.62,80.23186668708811,79.81515711645102,79.20264093448452,1980.0,22168.0,0.0,0.0
