learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.077023447,6.5430676058804E-9,1000.0,75.7,70.2592948882704,71.00238663484487,67.51336898395722,764.0,22168.0,3.0,15.0
2000.0,0.177940865,1.5546990549278754E-8,2000.0,82.55,78.67238336421458,78.98856110776642,76.85676392572944,1764.0,22168.0,0.0,4.0
3000.0,0.227866233,2.005519971820629E-8,3000.0,82.83333333333334,79.03305611731284,79.35871743486975,77.31277533039648,817.0,22168.0,1.0,10.0
4000.0,0.290149264,2.556057498016291E-8,4000.0,84.82499999999999,81.4814857187399,81.76629618504055,79.94051553205551,1817.0,22168.0,0.0,8.0
5000.0,0.325149315,2.8610578072083488E-8,5000.0,86.53999999999999,83.57112161539473,83.8143338143338,82.266139657444,2817.0,22168.0,0.0,1.0
6000.0,0.354550201,3.1172654144635627E-8,6000.0,87.83333333333333,85.13389977926894,85.31482599074633,83.85670057496682,3817.0,22168.0,0.0,0.0
7000.0,0.389770926,3.430931342880965E-8,7000.0,88.64285714285714,86.13251455114127,86.22183708838821,84.98016247874551,4817.0,22168.0,0.0,1.0
8000.0,0.42409906,3.7366481054390047E-8,8000.0,89.3625,87.00821301156853,87.07668944570995,85.90826295744328,5817.0,22168.0,0.0,0.0
9000.0,0.458207555,4.0404088244785855E-8,9000.0,90.04444444444445,87.84557275665922,87.91638570465274,86.82933999706015,6817.0,22168.0,0.0,0.0
10000.0,0.49222568,4.3433647335674605E-8,10000.0,90.53,88.43545237976348,88.51146427271624,87.46027542372882,7817.0,22168.0,0.0,0.0
11000.0,0.525564464,4.635282056282584E-8,11000.0,90.79090909090908,88.75235653675175,88.83008049399052,87.79076774737858,8817.0,22168.0,0.0,1.0
12000.0,0.558431862,4.923071881753495E-8,12000.0,91.11666666666667,89.15184508102068,89.22252552825802,88.23139765952749,9817.0,22168.0,0.0,0.0
13000.0,0.591479597,5.2187536844718775E-8,13000.0,91.2923076923077,89.36690535709774,89.44620548200635,88.4725050916497,10817.0,22168.0,0.0,1.0
14000.0,0.625638304,5.522106167372315E-8,14000.0,91.47857142857143,89.59524007463494,89.67903797906393,88.71974281391832,11817.0,22168.0,0.0,3.0
15000.0,0.660515876,5.8318426589713314E-8,15000.0,91.16666666666666,89.21275230809243,89.30589184826474,88.31981664315937,116.0,22168.0,2.0,9.0
16000.0,0.695861761,6.14426041627137E-8,16000.0,90.53125,88.43144457830581,88.52359669721992,87.44925855355811,698.0,22168.0,2.0,14.0
17000.0,0.730171172,6.443242293846274E-8,17000.0,90.54705882352941,88.45282051936881,88.5222484108278,87.48637283912164,1698.0,22168.0,0.0,4.0
18000.0,0.763261413,6.731599980417638E-8,18000.0,90.63888888888889,88.56369495530672,88.62715982721383,87.599352369738,2698.0,22168.0,0.0,0.0
