learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.104591367,9.996689257510007E-9,1000.0,85.5,82.31797883523039,82.57211538461539,81.04575163398692,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.246921976,2.5355772000764393E-8,2000.0,86.75,83.81149988286246,83.93939393939395,82.42705570291777,2000.0,30560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.316231848,3.2835091217141596E-8,3000.0,88.23333333333333,85.60919576467352,85.62118126272912,84.27616926503342,3000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.368096954,3.843192284835916E-8,4000.0,88.94999999999999,86.50417530893073,86.45003065603923,85.28138528138528,4000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.421460836,4.419048936400769E-8,5000.0,89.53999999999999,87.22656358951245,87.25322934438215,86.04216706698692,5000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.475238708,4.9993730083677085E-8,6000.0,90.16666666666666,87.99162588907762,87.99348799348799,86.85090260753286,6000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.527741678,5.565939445595981E-8,7000.0,90.68571428571428,88.63293624158149,88.61334264757247,87.58568164508758,7000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.579337868,6.122720700882168E-8,8000.0,91.05,89.08669050650674,89.0837017838085,88.10828765985717,8000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.630733742,6.677340319932543E-8,9000.0,91.3111111111111,89.40498003573373,89.42242661977546,88.45926800472253,9000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.678115556,7.188643690911226E-8,10000.0,91.46,89.58040854242032,89.61196934679478,88.64814568656121,10000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.723657927,7.680097391157102E-8,11000.0,91.58181818181819,89.73181622951063,89.76795580110497,88.83664858348403,11000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.768340652,8.162274538638486E-8,12000.0,91.64999999999999,89.81309330640592,89.84699564292228,88.91347643283912,12000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.812540551,8.639241447411065E-8,13000.0,91.73846153846154,89.91645062181853,89.93722477279117,89.01166359729895,13000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.850885688,9.053028851344976E-8,14000.0,91.75,89.93205275021576,89.9390243902439,89.03342195214584,14000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.885178554,9.423087667293228E-8,15000.0,91.71333333333334,89.88688229699478,89.91153315477641,88.97658744235545,15000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.920618225,9.805521806447873E-8,16000.0,91.825,90.0229023209338,90.03959792872372,89.11541982191895,16000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.954992853,1.0176462926864627E-7,17000.0,91.89411764705882,90.10972969084014,90.11832197920401,89.21921452041934,17000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.989256375,1.0546205087859186E-7,18000.0,92.0,90.24235171189527,90.25512620965014,89.37269372693729,18000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.023502747,1.0915762180953807E-7,19000.0,92.0578947368421,90.31300760122288,90.33373903017103,89.45197819096884,19000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.058679477,1.1295358889281753E-7,20000.0,92.09,90.3493693903098,90.3771289537713,89.48976880148818,20000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.093025677,1.1665993239420987E-7,21000.0,92.12857142857143,90.39800723340716,90.42738012508687,89.55450236966824,21000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.1511622,1.2338869021327134E-7,22000.0,91.85909090909091,90.0669805218812,90.09840778416631,89.19000482858524,22000.0,60816.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
