learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.168443861,1.596226358469162E-8,1000.0,46.9,34.777962566726686,36.254501800720284,31.48387096774193,25.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.340441702,3.304764603977609E-8,2000.0,47.65,35.32569719454363,36.00244498777506,30.662251655629134,49.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.526584554,5.144566310964732E-8,3000.0,47.4,35.04334628578704,35.775335775335776,30.238726790450926,12.0,28640.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.693710525,6.803326361741457E-8,4000.0,47.625,35.304203034248324,36.20584652862363,30.37554004652709,36.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.827898128,8.135166253734587E-8,5000.0,47.699999999999996,35.40908207092463,36.21951219512194,30.544488711819383,60.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.952375995,9.371665475191756E-8,6000.0,47.78333333333333,35.50133217644266,36.2693246541904,30.793019659818867,23.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,1.069090611,1.0530082334068501E-7,7000.0,47.81428571428572,35.62359690356827,36.414273281114006,31.114463511220062,47.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.177493895,1.1601520451639676E-7,8000.0,48.1,35.94556236733909,36.87091379048198,31.43989431968296,10.0,28640.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.27832109,1.2602251349998224E-7,9000.0,48.044444444444444,35.855041294727066,36.73386551210932,31.366505210626745,34.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.368646106,1.3499493684349167E-7,10000.0,47.78,35.58766236068997,36.425614803993184,31.017173051519155,58.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.459207418,1.439833355700742E-7,11000.0,47.699999999999996,35.45828224915306,36.34653684443461,30.82010582010582,21.0,30240.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.544095082,1.524086129225066E-7,12000.0,47.75833333333333,35.50609637908671,36.27769871925188,30.828643936886245,45.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.628143391,1.6068796167398076E-7,13000.0,47.73076923076923,35.45567344666938,36.26899268429938,30.726883474360285,8.0,27360.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.70923746,1.6873671682599309E-7,14000.0,47.62857142857143,35.32032086837221,36.12127548353372,30.581329293694377,32.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.782273989,1.7598574436059426E-7,15000.0,47.70666666666667,35.344693287940615,36.23801007966184,30.516431924882635,56.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.84345583,1.8206323432624544E-7,16000.0,47.731249999999996,35.39589920487584,36.296465569774526,30.718250352083505,19.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.902708182,1.8794415360073454E-7,17000.0,47.647058823529406,35.28692013156164,36.3285162398054,30.625925637228153,43.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.963516073,1.9392912401530476E-7,18000.0,47.68333333333333,35.31594827489161,36.332905145020625,30.66558680606685,6.0,27040.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,2.023109531,1.9984389877033316E-7,19000.0,47.66315789473684,35.279844688617764,36.382828993666436,30.63132193930938,30.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,2.083365081,2.0582937574379974E-7,20000.0,47.815000000000005,35.44891130618256,36.576324744773956,30.7386024288274,54.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,2.145215469,2.119732757359826E-7,21000.0,47.77619047619048,35.42416937740689,36.49313799293532,30.73765315144626,17.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,2.204830955,2.1789023681586402E-7,22000.0,47.71363636363636,35.3188883519428,36.415897407550716,30.663050030138635,41.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,2.265643859,2.2384033432687736E-7,23000.0,47.7695652173913,35.40224217828673,36.462685777754274,30.808662596475056,4.0,24792.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,2.324917865,2.2968893146197415E-7,24000.0,47.74583333333333,35.38443346718125,36.41756236057594,30.766258142872914,28.0,27992.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,2.384533847,2.3560594177088804E-7,25000.0,47.760000000000005,35.43110405261563,36.44768856447689,30.866550209094285,52.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,2.445947508,2.4164023936969537E-7,26000.0,47.776923076923076,35.452342619224275,36.47124877181491,30.844453499032294,15.0,26392.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,2.504896835,2.474910827821638E-7,27000.0,47.788888888888884,35.44608058488318,36.44274120829576,30.849602668497983,39.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,2.565870269,2.5344691789215013E-7,28000.0,47.80714285714286,35.464346582021285,36.507798583655564,30.844217300776076,2.0,24160.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,2.624879945,2.5930863613901244E-7,29000.0,47.80689655172414,35.47166189484147,36.45142329330758,30.857429994061487,26.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,2.684556992,2.652366475946042E-7,30000.0,47.760000000000005,35.40102724485172,36.34960604337584,30.780442559957606,50.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
