learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.098784584,9.815002292129728E-9,1000.0,86.2,83.26238038059893,83.29297820823243,81.88976377952756,1000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.206878243,2.1031213489578416E-8,2000.0,88.55,86.08134572113823,86.17149758454106,84.90441661173368,2000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.273392146,2.793295028446863E-8,3000.0,89.5,87.20945844982427,87.30350665054414,86.11111111111111,3000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.327921675,3.359114262821567E-8,4000.0,90.2,88.05259964916704,88.1570996978852,87.04988437396763,4000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.375598336,3.853825519626339E-8,5000.0,90.92,88.93782183567734,89.00992495763738,88.04948670702817,5000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.422953863,4.34520456730802E-8,6000.0,91.16666666666666,89.23823561482061,89.31236136317806,88.36443468715697,6000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.468351635,4.816269200845518E-8,7000.0,91.31428571428572,89.41202454678813,89.48642573058966,88.5520617586142,7000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.513036595,5.279937424630548E-8,8000.0,91.53750000000001,89.6795643846264,89.7610405323654,88.8339106053109,8000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.556917614,5.735263649329129E-8,9000.0,91.78888888888889,89.9913069888863,90.0605245460659,89.19432665594387,9000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.60081543,6.190764166119611E-8,10000.0,91.89,90.11521225930146,90.1827865875802,89.32192231731403,10000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.644732118,6.64646050599507E-8,11000.0,91.95454545454545,90.19092757430315,90.25974025974025,89.40627244433804,11000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.688229779,7.097808861564222E-8,12000.0,92.025,90.27376134966045,90.34698406294129,89.48929159802307,12000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.731423304,7.546001385755008E-8,13000.0,92.16153846153846,90.44333496776088,90.51475379316764,89.68623481781377,13000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.774652926,7.994568466214254E-8,14000.0,92.22857142857143,90.52534109860584,90.59230436662344,89.76866654128267,14000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.810640241,8.367986601193951E-8,15000.0,92.26666666666667,90.570754301397,90.637610976594,89.82366874287217,15000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.844362865,8.717905436780922E-8,16000.0,92.30000000000001,90.60785377632843,90.67796610169492,89.85340141657059,16000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.87904899,9.077821926999007E-8,17000.0,92.40588235294118,90.73973828762861,90.80877118040722,90.00464540105297,17000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.912820116,9.428244037875695E-8,18000.0,92.44444444444444,90.78716356230457,90.85283831046542,90.05411730291063,18000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.946408518,9.776770134690318E-8,19000.0,92.4578947368421,90.80288537337465,90.86795819525874,90.07273986837548,19000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.979199619,1.0117023131596336E-7,20000.0,92.485,90.8333040177964,90.90524022752027,90.1007705986959,20000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
