learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.131389872,1.2650233663022516E-8,1000.0,73.8,68.00828365662875,68.50961538461539,65.7516339869281,265.0,30240.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.269767789,2.6682086820080873E-8,2000.0,69.65,62.75191548428032,63.21212121212122,59.748010610079575,17.0,30560.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.355134281,3.5344107752086384E-8,3000.0,70.39999999999999,63.60013767455435,63.828920570264756,60.44543429844098,377.0,30240.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.444745934,4.443984672458635E-8,4000.0,70.7,63.98218716324535,64.07112201103618,60.972360972360974,257.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.525332804,5.257452306965159E-8,5000.0,70.78,64.06951655817349,64.39190835973677,61.0088070456365,9.0,28640.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.595981074,5.973433334564997E-8,6000.0,71.2,64.57248042354475,64.83516483516483,61.48874526409628,113.0,30240.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.667653695,6.700329593977994E-8,7000.0,71.57142857142857,65.05319553404425,65.24624519734546,62.10967250571212,217.0,30240.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.741937304,7.453952202274567E-8,8000.0,71.4125,64.90690538154793,65.13187985973472,62.016276366052146,161.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.811641386,8.160768336146242E-8,9000.0,71.56666666666666,65.09892162168859,65.38617611253889,62.23435655253836,41.0,30560.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.873883197,8.79268814574596E-8,10000.0,71.17,64.60739441761504,64.94406614785993,61.692798299229345,401.0,30560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.943036929,9.493837725852098E-8,11000.0,70.42727272727272,63.784537399208155,64.00752378844878,60.60312462153325,25.0,30560.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.007433536,1.0147394545870937E-7,12000.0,70.525,63.99989190807239,64.05122471795914,60.669409540753925,225.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.074284784,1.0824728834852162E-7,13000.0,70.32307692307693,63.78876098560647,63.71331828442437,60.29638777400432,41.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.127625301,1.136530538647001E-7,14000.0,70.22857142857143,63.68787309937189,63.54093771868441,60.13009374402143,113.0,30240.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.175146363,1.1847534428851058E-7,15000.0,69.99333333333333,63.40811966101485,63.251143043762234,59.798142193640594,185.0,30560.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.225131167,1.2353916482734596E-7,16000.0,69.91875,63.304671636279984,63.13572303921568,59.666471130478506,33.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.267748921,1.278691748345188E-7,17000.0,70.2235294117647,63.66005270250962,63.51974632458922,60.07886435331231,521.0,30560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
