learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.154622641,1.6109837825973003E-8,1000.0,73.4,67.25710557737047,67.99037304452466,64.00541271989174,638.0,30560.0,4.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.307036211,3.26736974374536E-8,2000.0,79.75,75.1217345740933,75.39489671931958,72.67206477732793,1638.0,30560.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.385005706,4.10503737264975E-8,3000.0,83.13333333333334,79.32006048133037,79.41415785191212,77.68959435626103,2638.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.444807556,4.7475203577402146E-8,4000.0,85.32499999999999,82.00963832860346,82.02143950995405,80.55003313452619,3638.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.505210376,5.393959681773972E-8,5000.0,87.03999999999999,84.1108910720176,84.12542871141596,82.7659574468085,4638.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.566955204,6.064473206962769E-8,6000.0,87.96666666666667,85.25583675883269,85.1806239737274,84.00885935769658,5638.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.618904319,6.628610890350407E-8,7000.0,88.81428571428572,86.30262247675925,86.26315789473684,85.15358361774744,6638.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.671385152,7.192440307765992E-8,8000.0,89.3375,86.94758233992589,86.90512741786921,85.83527067419462,7638.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.719378822,7.708061753708663E-8,9000.0,89.53333333333333,87.189587367815,87.15045696357932,86.07950347273533,8638.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.77009847,8.259268007204144E-8,10000.0,89.92999999999999,87.68363643043848,87.63506876227898,86.66048483242812,9638.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
