learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.025184786,1.850820593689051E-9,1000.0,90.0,79.76429450236353,80.91603053435115,77.37556561085974,760.0,1408.0,1.0,26.0
2000.0,0.116992178,8.972021877024737E-9,2000.0,89.95,79.76674377449883,80.15794669299112,78.15217391304347,136.0,1408.0,2.0,23.0
3000.0,0.15157505,1.1655147117827502E-8,3000.0,89.60000000000001,79.03173197893855,79.4601711652403,77.2594752186589,341.0,1408.0,2.0,20.0
4000.0,0.188691375,1.452453790528079E-8,4000.0,88.52499999999999,76.88639031383649,77.38916256157634,75.20259319286872,35.0,1408.0,2.0,31.0
5000.0,0.221412057,1.706318442863723E-8,5000.0,86.32,72.55399960452078,73.22896281800391,71.40468227424749,1035.0,1408.0,0.0,7.0
6000.0,0.24433689,1.8842765199244026E-8,6000.0,87.41666666666667,74.79241862792408,75.15630141493914,74.06389556853314,2035.0,1408.0,0.0,5.0
7000.0,0.267689714,2.0654602906604613E-8,7000.0,87.97142857142856,75.93333460186246,76.27500704423781,75.64362163725772,317.0,1408.0,1.0,9.0
8000.0,0.297224951,2.294555533479279E-8,8000.0,87.675,75.34923428559,75.73818897637796,75.26962628542765,194.0,1408.0,2.0,31.0
9000.0,0.319983114,2.4710832139104613E-8,9000.0,86.26666666666667,72.53233635887526,73.07776083641909,72.1872187218722,908.0,1408.0,2.0,22.0
10000.0,0.340568738,2.630882766741846E-8,10000.0,85.91,71.8105599203061,72.18712988551125,71.25662994696042,1908.0,1408.0,0.0,24.0
11000.0,0.360846156,2.788205883382096E-8,11000.0,85.75454545454545,71.49258582307785,71.85704022988504,70.73216286888307,2908.0,1408.0,0.0,28.0
12000.0,0.382502518,2.956187251229668E-8,12000.0,85.03333333333333,70.02490886679385,70.21064853209488,68.89504676134396,221.0,1408.0,2.0,31.0
13000.0,0.403164316,3.1164541090809645E-8,13000.0,83.98461538461538,67.9400011560836,68.25735630431467,67.02043402502771,184.0,1408.0,3.0,39.0
14000.0,0.422155791,3.263764813803344E-8,14000.0,83.87142857142858,67.72796919885184,67.91246269717209,67.06534422403735,1184.0,1408.0,0.0,49.0
15000.0,0.441491555,3.413245838904754E-8,15000.0,83.83333333333334,67.65940052451252,67.83819628647217,67.24743381955702,25.0,1408.0,1.0,34.0
16000.0,0.461580344,3.569068052008748E-8,16000.0,83.5125,67.02498814960511,66.99612160640561,66.991991991992,197.0,1408.0,2.0,29.0
17000.0,0.481499384,3.723693128461639E-8,17000.0,83.41176470588235,66.82194742711262,66.87030075187971,66.50433543176149,792.0,1408.0,2.0,16.0
18000.0,0.500291673,3.869571600684689E-8,18000.0,84.01666666666667,68.0299745071982,68.04398533822058,67.6668914362778,1792.0,1408.0,0.0,15.0
19000.0,0.519944741,4.022050674169428E-8,19000.0,84.26842105263158,68.53026571536168,68.56000841485222,68.05600085497488,245.0,1408.0,2.0,23.0
20000.0,0.539228414,4.171627863896183E-8,20000.0,84.615,69.21978835698532,69.26994906621391,68.69467901108963,764.0,1408.0,1.0,16.0
