learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.032349152,2.2039936727947657E-9,1000.0,80.80000000000001,60.29776674937967,59.14893617021277,54.06698564593303,25.0,1408.0,16.0,0.0
2000.0,0.122134096,8.557903391983775E-9,2000.0,81.89999999999999,63.12087083645328,62.525879917184255,58.533791523482236,49.0,1408.0,16.0,0.0
3000.0,0.160022311,1.12391803055298E-8,3000.0,81.6,62.768528614948785,62.37218813905929,59.14137675795706,12.0,1408.0,17.0,0.0
4000.0,0.204115052,1.4359539723313518E-8,4000.0,81.77499999999999,63.24396928829433,62.787136294027555,59.923034634414506,36.0,1408.0,16.0,0.0
5000.0,0.245439655,1.7284003279734817E-8,5000.0,81.47999999999999,62.61294645027288,62.234910277324616,59.153065725628586,60.0,1408.0,16.0,0.0
6000.0,0.285037135,2.0086241626371113E-8,6000.0,81.18333333333332,61.96228347588586,61.46757679180887,58.200666419844495,23.0,1408.0,17.0,0.0
7000.0,0.321615777,2.2674842549467254E-8,7000.0,81.11428571428571,61.81806103911484,61.457725947521865,57.9650238473768,47.0,1408.0,16.0,0.0
8000.0,0.351906581,2.4818465136542092E-8,8000.0,81.2,62.05762939020065,61.86612576064909,58.510344827586216,10.0,1408.0,17.0,0.0
9000.0,0.378901631,2.672885348144091E-8,9000.0,81.42222222222222,62.55153643221857,62.376237623762364,59.279103750608854,34.0,1408.0,16.0,0.0
10000.0,0.405439029,2.8606854664737156E-8,10000.0,81.44,62.56795449037723,62.4367536935843,59.33391761612621,58.0,1408.0,16.0,0.0
11000.0,0.427608192,3.017572416530716E-8,11000.0,81.51818181818183,62.77997983331664,62.442268612599314,59.726624405705245,21.0,1408.0,17.0,0.0
12000.0,0.448769737,3.167328645646987E-8,12000.0,81.36666666666666,62.47694664823704,62.38223418573351,59.33066569661696,45.0,1408.0,16.0,0.0
13000.0,0.469121547,3.311354534176903E-8,13000.0,81.3076923076923,62.34677946247697,62.28465000776035,59.180245254493514,8.0,1408.0,17.0,0.0
14000.0,0.48876213,3.450347204500603E-8,14000.0,81.47857142857143,62.67704397417781,62.61534025374856,59.50968144909432,32.0,1408.0,16.0,0.0
15000.0,0.509539324,3.5973834546920335E-8,15000.0,81.43333333333334,62.60330216735953,62.51682368775236,59.53211275791921,56.0,1408.0,16.0,0.0
16000.0,0.530465414,3.7454734135559876E-8,16000.0,81.39375,62.51717621755751,62.48267170762445,59.402700122732846,19.0,1408.0,17.0,0.0
17000.0,0.550610313,3.888035032292622E-8,17000.0,81.5,62.721929846750825,62.546147433607224,59.622544614199505,43.0,1408.0,16.0,0.0
18000.0,0.569967902,4.025025007902749E-8,18000.0,81.5,62.7218479176775,62.58426966292134,59.64614638875423,6.0,1408.0,17.0,0.0
19000.0,0.590848882,4.172795731876461E-8,19000.0,81.5,62.71908406430388,62.65009031983848,59.65335169880623,30.0,1408.0,16.0,0.0
20000.0,0.612850225,4.328495051712213E-8,20000.0,81.22,62.15469751038669,62.04910578963323,59.02694447474638,54.0,1408.0,16.0,0.0
21000.0,0.63337797,4.4737659987749333E-8,21000.0,80.93809523809524,61.66395587697946,61.37218952040916,58.89299650852332,17.0,1408.0,17.0,0.0
22000.0,0.653292577,4.614697884828267E-8,22000.0,80.99545454545455,61.826694471124874,61.49382943451833,59.348565872630054,41.0,1408.0,16.0,0.0
23000.0,0.673671308,4.758914288154907E-8,23000.0,81.00869565217391,61.87937446263384,61.55268022181145,59.55930006480881,4.0,1408.0,17.0,0.0
24000.0,0.695110264,4.910633702155617E-8,24000.0,81.04166666666667,61.97635380476304,61.61633203981779,59.86946551420004,28.0,1408.0,16.0,0.0
25000.0,0.715609379,5.055702040153659E-8,25000.0,81.08800000000001,62.09553239345305,61.701093560145814,60.22880215343205,52.0,1408.0,16.0,0.0
26000.0,0.735330453,5.195264329975264E-8,26000.0,81.08846153846154,62.1219766334888,61.660818713450304,60.51870884856272,15.0,1408.0,17.0,0.0
27000.0,0.755426325,5.337478993957655E-8,27000.0,81.18518518518518,62.33510052450267,61.87903346840762,60.956114057336094,39.0,1408.0,16.0,0.0
28000.0,0.775652736,5.480533736223148E-8,28000.0,81.23928571428571,62.4499061467209,62.04205506178192,61.169426374926076,2.0,1248.0,17.0,0.0
29000.0,0.795638296,5.62196774316248E-8,29000.0,81.22758620689655,62.433079312203546,62.028318337169566,61.258183888414464,26.0,1408.0,16.0,0.0
30000.0,0.815192985,5.760352557984905E-8,30000.0,81.28,62.54604299099813,62.146131032623344,61.510520183674856,50.0,1408.0,16.0,0.0
31000.0,0.835103676,5.9012567312510475E-8,31000.0,81.25483870967743,62.49900356654272,62.03945649333683,61.53438803203814,13.0,1408.0,17.0,0.0
32000.0,0.856214249,6.050652241218008E-8,32000.0,81.290625,62.57681184377961,62.18896046482254,61.756627275630805,37.0,1408.0,16.0,0.0
33000.0,0.875886181,6.189866762452242E-8,33000.0,81.33030303030303,62.65979136514493,62.29498164014687,61.97617725112633,61.0,1408.0,16.0,0.0
34000.0,0.896697658,6.337145626914171E-8,34000.0,81.37352941176471,62.74966892458228,62.36182099132296,62.19104477611942,24.0,1408.0,17.0,0.0
35000.0,0.917644623,6.485383314182775E-8,35000.0,81.36571428571429,62.7350352116125,62.35063210760261,62.23946271421955,48.0,1408.0,16.0,0.0
36000.0,0.938185893,6.63074997509809E-8,36000.0,81.39166666666667,62.787568429634945,62.42638398115429,62.40951686212893,11.0,1408.0,17.0,0.0
37000.0,0.95830206,6.773108262935447E-8,37000.0,81.37297297297297,62.75020009621281,62.30996390681395,62.48435033476674,35.0,1408.0,16.0,0.0
38000.0,0.978328976,6.914834938421019E-8,38000.0,81.3842105263158,62.77193018492982,62.356321839080465,62.58330688670264,59.0,1408.0,16.0,0.0
39000.0,0.998580431,7.05815063370309E-8,39000.0,81.37435897435897,62.7510658315691,62.37244237244237,62.64143180415552,22.0,1408.0,17.0,0.0
40000.0,1.019423754,7.205654866250025E-8,40000.0,81.31,62.62015054734368,62.219526986052166,62.614392158823826,46.0,1408.0,16.0,0.0
41000.0,1.041220397,7.359905563118972E-8,41000.0,81.10731707317073,62.21200135014763,61.7613664412302,62.118544600938975,9.0,1408.0,17.0,0.0
42000.0,1.061184446,7.501187340802617E-8,42000.0,81.07380952380953,62.14091051998113,61.691566265060246,61.93919080679915,33.0,1408.0,16.0,0.0
43000.0,1.081031444,7.641640770821937E-8,43000.0,81.0,61.98678151489607,61.49677176115746,61.65399418004319,57.0,1408.0,16.0,0.0
44000.0,1.10152405,7.786663045864968E-8,44000.0,80.92272727272727,61.82612665592492,61.30727390061767,61.390920380847234,20.0,1408.0,17.0,0.0
45000.0,1.12173879,7.9297189160751E-8,45000.0,80.81111111111112,61.59877050603419,61.06501938858327,61.08958183129055,44.0,1408.0,16.0,0.0
46000.0,1.141433723,8.069096211011627E-8,46000.0,80.73478260869565,61.441015533013186,60.8879865831053,60.8499734935501,7.0,1408.0,17.0,0.0
47000.0,1.16036319,8.203056448654997E-8,47000.0,80.71489361702127,61.394930893656706,60.85848771429805,60.71428571428571,31.0,1408.0,16.0,0.0
48000.0,1.172894398,8.29173742428091E-8,48000.0,80.68958333333333,61.33581364220911,60.79103214890018,60.545694462180236,55.0,1408.0,16.0,0.0
49000.0,1.185179413,8.378676138870833E-8,49000.0,80.63061224489796,61.208390867476325,60.636224130065116,60.30033044714938,18.0,1408.0,17.0,0.0
50000.0,1.197435941,8.46541325637988E-8,50000.0,80.572,61.0841757930898,60.5458754721579,60.10513778799951,42.0,1408.0,16.0,0.0
