learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.023068996,1.7714832135041557E-9,1000.0,93.4,86.68157254305284,86.47540983606558,85.43046357615896,1000.0,1408.0,0.0,0.0
2000.0,0.110234673,8.848158859834075E-9,2000.0,93.10000000000001,86.08506261721823,86.18618618618619,85.03253796095446,2000.0,1408.0,0.0,2.0
3000.0,0.141769329,1.1408346995934844E-8,3000.0,93.46666666666667,86.82824025289779,86.8896321070234,85.89928057553956,3000.0,1408.0,0.0,2.0
4000.0,0.18072835,1.4571293290903172E-8,4000.0,93.45,86.78681919653269,86.79435483870968,85.84548892490545,4000.0,1408.0,0.0,0.0
5000.0,0.214163708,1.7285792757074038E-8,5000.0,93.4,86.67769054132177,86.73100120627262,85.66463944396179,5000.0,1408.0,0.0,0.0
6000.0,0.23499931,1.897736221795281E-8,6000.0,93.61666666666667,87.1273658086703,87.20774883099534,86.20317002881845,6000.0,1408.0,0.0,0.0
7000.0,0.258594298,2.0892956551661094E-8,7000.0,93.71428571428572,87.33796813032355,87.4679578467673,86.49063555419097,7000.0,1408.0,0.0,0.0
8000.0,0.285141769,2.304825262648364E-8,8000.0,93.7,87.29861516473527,87.39684921230308,86.39676113360325,8000.0,1408.0,0.0,0.0
9000.0,0.30974702,2.504586667040984E-8,9000.0,93.64444444444445,87.19186011361624,87.2207327971403,86.30596121618386,9000.0,1408.0,0.0,0.0
10000.0,0.329970161,2.6687712570453686E-8,10000.0,93.74,87.38676295173926,87.39174219536757,86.51443343386471,10000.0,1408.0,0.0,0.0
11000.0,0.348621555,2.8201953843310477E-8,11000.0,93.8,87.50576913032957,87.4885342139057,86.63793103448275,11000.0,1408.0,0.0,0.0
12000.0,0.36733456,2.9721197097202145E-8,12000.0,93.85833333333333,87.61532215986317,87.60719690600303,86.71353884982874,12000.0,1408.0,0.0,0.0
13000.0,0.385784222,3.1219060456405085E-8,13000.0,93.84615384615384,87.58468942945416,87.5834238708676,86.64663662159906,13000.0,1408.0,0.0,0.0
14000.0,0.404092574,3.270545135224859E-8,14000.0,93.90714285714286,87.70828193771658,87.67697197341808,86.78134201146753,14000.0,1408.0,0.0,0.0
15000.0,0.422133247,3.4170110328768695E-8,15000.0,93.92,87.73604856739925,87.64562449200758,86.82271348071089,15000.0,1408.0,0.0,0.0
16000.0,0.440387436,3.565210392057896E-8,16000.0,93.95625,87.80133739980648,87.74087221095334,86.85426862425231,16000.0,1408.0,0.0,0.0
17000.0,0.459060294,3.716808778032661E-8,17000.0,93.96470588235294,87.81604431511869,87.77698355968549,86.87140115163147,17000.0,1408.0,0.0,0.0
18000.0,0.477809421,3.8690263652727016E-8,18000.0,93.9888888888889,87.86821971394114,87.85088704244329,86.9481302774427,18000.0,1408.0,0.0,0.0
19000.0,0.497205798,4.026498748287559E-8,19000.0,94.0,87.89238510398908,87.90964047088767,86.9744058500914,19000.0,1408.0,0.0,0.0
20000.0,0.515933222,4.178540136481326E-8,20000.0,94.045,87.98203080511252,87.97334141169343,87.06278514012601,20000.0,1408.0,0.0,0.0
21000.0,0.534275913,4.327458012364806E-8,21000.0,94.01428571428572,87.91983349442053,87.8761574074074,86.9943093636834,21000.0,1408.0,0.0,0.0
22000.0,0.552322984,4.473975853135189E-8,22000.0,94.00909090909092,87.90850425720647,87.87042149825143,86.98014422601995,22000.0,1408.0,0.0,0.0
23000.0,0.570380569,4.620579053384563E-8,23000.0,94.06086956521739,88.01456349939039,87.97217575063836,87.10347432024167,23000.0,1408.0,0.0,0.0
24000.0,0.588387596,4.766771790961425E-8,24000.0,94.06666666666666,88.02248610011193,87.96178882407642,87.09677419354838,24000.0,1408.0,0.0,0.0
25000.0,0.606361952,4.91269928414623E-8,25000.0,94.06400000000001,88.01633138235333,87.95356765971265,87.08666898712148,25000.0,1408.0,0.0,0.0
26000.0,0.624519358,5.0601128960897534E-8,26000.0,94.05,87.99026871975285,87.95077498247527,87.07170315895037,26000.0,1408.0,0.0,0.0
27000.0,0.64291356,5.2094489717185506E-8,27000.0,94.04444444444444,87.97885394686321,87.93788913059785,87.05730843528654,27000.0,1408.0,0.0,0.0
28000.0,0.661951414,5.3640106322218986E-8,28000.0,94.04642857142858,87.98821488341395,87.94126157407408,87.08952912019828,28000.0,1408.0,0.0,0.0
29000.0,0.682524386,5.531035377437871E-8,29000.0,94.04137931034484,87.97944300530813,87.95567017494947,87.08713196831566,29000.0,1408.0,0.0,0.0
30000.0,0.700512539,5.677074883627396E-8,30000.0,94.00333333333334,87.90464541489784,87.8822578472316,87.02113844599958,30000.0,1408.0,0.0,0.0
31000.0,0.718431889,5.8225558023874966E-8,31000.0,94.01612903225806,87.92915105842192,87.90427751695358,87.04608938547487,31000.0,1408.0,0.0,0.0
32000.0,0.73631368,5.967731792797646E-8,32000.0,93.98125,87.85776104678962,87.81937768783203,86.96534921494316,32000.0,1408.0,0.0,0.0
33000.0,0.754997584,6.119419857372841E-8,33000.0,93.96666666666667,87.82798714400683,87.7860253972149,86.93398083738023,33000.0,1408.0,0.0,8.0
34000.0,0.773173298,6.266982105548184E-8,34000.0,93.97941176470587,87.85377973837056,87.8067667381463,86.95929158437917,34000.0,1408.0,0.0,1.0
35000.0,0.791157882,6.412992636278273E-8,35000.0,93.96571428571428,87.82480860152764,87.78060634112474,86.91855063487148,35000.0,1408.0,0.0,3.0
36000.0,0.809038527,6.558159322716298E-8,36000.0,94.01666666666667,87.92697681812336,87.8920741989882,87.0233146575095,36000.0,1408.0,0.0,0.0
37000.0,0.826840095,6.702684010721745E-8,37000.0,93.9972972972973,87.8867063278654,87.84545504295956,86.97207883622713,37000.0,1408.0,0.0,0.0
38000.0,0.845608705,6.85505977360656E-8,38000.0,93.96315789473684,87.8173019021623,87.76989923761795,86.89292652268311,38000.0,1408.0,0.0,11.0
39000.0,0.863744943,7.002301529981198E-8,39000.0,93.95897435897436,87.80848992591893,87.7578591842037,86.88122946711955,39000.0,1408.0,0.0,0.0
40000.0,0.882430514,7.154003128344815E-8,40000.0,93.9425,87.7750713017831,87.73475069602631,86.84724785582455,40000.0,1408.0,0.0,8.0
41000.0,0.90576446,7.343728176460914E-8,41000.0,93.94634146341463,87.77993791523497,87.71651984559041,86.83708103521425,649.0,1408.0,2.0,5.0
42000.0,0.924557659,7.496420252350472E-8,42000.0,93.92619047619047,87.74078366597037,87.68762971185868,86.80221428940969,1649.0,1408.0,0.0,6.0
43000.0,0.943091885,7.647119449119189E-8,43000.0,93.86976744186046,87.62484780941803,87.5689695826456,86.67003792667509,2649.0,1408.0,0.0,5.0
44000.0,0.961344115,7.795525775892042E-8,44000.0,93.8659090909091,87.6175951016576,87.5581984972111,86.66304294114741,3649.0,1408.0,0.0,2.0
45000.0,0.979843186,7.945939132277546E-8,45000.0,93.82222222222222,87.52790183328177,87.47691337447631,86.55900981482377,4649.0,1408.0,0.0,5.0
46000.0,0.995975134,8.077105742953099E-8,46000.0,93.80652173913043,87.49474299048923,87.45983538007835,86.51297102821435,5649.0,1408.0,0.0,11.0
47000.0,1.008961138,8.182693123404559E-8,47000.0,93.7872340425532,87.45706014930978,87.42084176969801,86.47835147024774,6649.0,1408.0,0.0,7.0
48000.0,1.020401483,8.275712966923085E-8,48000.0,93.7625,87.4083183292361,87.381995954147,86.42976929701311,7649.0,1408.0,0.0,0.0
49000.0,1.031787192,8.368288572774787E-8,49000.0,93.73061224489796,87.34378623297108,87.32464102987292,86.35818642035615,8649.0,1408.0,0.0,0.0
50000.0,1.044732658,8.473546344423667E-8,50000.0,93.726,87.33474564256224,87.3180789133247,86.34781094960397,9649.0,1408.0,0.0,0.0
51000.0,1.05626046,8.567277288564998E-8,51000.0,93.73921568627452,87.35884466278674,87.34643734643736,86.36111229763786,10649.0,1408.0,0.0,0.0
52000.0,1.067670177,8.660048100103521E-8,52000.0,93.6923076923077,87.26413685103111,87.25570190775926,86.2594780277324,11649.0,1408.0,0.0,0.0
53000.0,1.079892278,8.759424292210283E-8,53000.0,93.65849056603773,87.19694740462323,87.18838148966988,86.19088705369981,12649.0,1408.0,0.0,0.0
54000.0,1.091293408,8.852125284054007E-8,54000.0,93.64814814814815,87.1746614718243,87.15836765256458,86.15875065574431,13649.0,1408.0,0.0,0.0
55000.0,1.102773414,8.945467605610896E-8,55000.0,93.6490909090909,87.1776074480588,87.16422298166316,86.16250049518678,14649.0,1408.0,0.0,0.0
56000.0,1.114251804,9.03879678769803E-8,56000.0,93.66071428571429,87.20050404363569,87.18920284363611,86.18193141567086,15649.0,1408.0,0.0,0.0
57000.0,1.125728367,9.132111114703947E-8,57000.0,93.65438596491228,87.18925822101107,87.1751232138425,86.17830257174519,16649.0,1408.0,0.0,0.0
58000.0,1.137411377,9.227104033363777E-8,58000.0,93.62586206896552,87.13115629318409,87.1189157172224,86.1109023968743,17649.0,1408.0,0.0,0.0
59000.0,1.148813948,9.319816741776758E-8,59000.0,93.62711864406779,87.13240517031561,87.12769599452243,86.1100849649058,18649.0,1408.0,0.0,0.0
60000.0,1.160269906,9.412963532412426E-8,60000.0,93.595,87.06882976240564,87.05624789491411,86.04777810049374,19649.0,1408.0,0.0,0.0
61000.0,1.172201863,9.509980604276063E-8,61000.0,93.5967213114754,87.07000856724672,87.07007845344103,86.03603603603602,20649.0,1408.0,0.0,0.0
62000.0,1.189017316,9.646704698414234E-8,62000.0,93.59838709677419,87.07458634432227,87.0792369294876,86.0482283464567,21649.0,1408.0,0.0,0.0
63000.0,1.204258605,9.77062948545524E-8,63000.0,93.57777777777778,87.03298921333213,87.03496010510463,86.00193744810407,22649.0,1408.0,0.0,0.0
64000.0,1.215600898,9.862852081889288E-8,64000.0,93.5921875,87.06064558240382,87.07084082095905,86.0234476177493,23649.0,1408.0,0.0,0.0
65000.0,1.226925318,9.954929355462601E-8,65000.0,93.59846153846154,87.07423224002903,87.08004719617463,86.04253320810412,24649.0,1408.0,0.0,0.0
66000.0,1.238312336,1.0047515604610039E-7,66000.0,93.60151515151514,87.07969705380675,87.08602183419465,86.044282881692,25649.0,1408.0,0.0,0.0
67000.0,1.249671357,1.0139874214070126E-7,67000.0,93.6089552238806,87.09395714362081,87.10357497816462,86.0539343408025,26649.0,1408.0,0.0,0.0
68000.0,1.261057824,1.0232455983113706E-7,68000.0,93.60441176470589,87.08569977525227,87.10184471202325,86.04927182908835,27649.0,1408.0,0.0,0.0
69000.0,1.272507301,1.0325550077645731E-7,69000.0,93.59420289855073,87.06481610028098,87.0798012277112,86.02415733889838,28649.0,1408.0,0.0,0.0
70000.0,1.28401296,1.0419100980154136E-7,70000.0,93.58571428571429,87.04527505808332,87.04745420452906,85.98976535197204,29649.0,1408.0,0.0,0.0
71000.0,1.295390544,1.0511610522768358E-7,71000.0,93.58450704225352,87.0428900855279,87.0504619758351,85.98806447643656,30649.0,1408.0,0.0,0.0
72000.0,1.306670102,1.060332302970046E-7,72000.0,93.58611111111111,87.04692740083689,87.0640634191434,85.99969683189329,31649.0,1408.0,0.0,0.0
73000.0,1.317939777,1.0694955179343208E-7,73000.0,93.56986301369862,87.01518655446111,87.0266983582997,85.96879296945058,32649.0,1408.0,0.0,0.0
74000.0,1.329199629,1.07865074595482E-7,74000.0,93.58378378378379,87.0452167368623,87.04537393249842,86.01019476118918,33649.0,1408.0,0.0,0.0
75000.0,1.340437267,1.0877879120829207E-7,75000.0,93.58533333333334,87.05031875219143,87.05363149538495,86.02347336006042,34649.0,1408.0,0.0,0.0
76000.0,1.35175151,1.0969873646640324E-7,76000.0,93.58684210526316,87.0529109032368,87.05548030701405,86.02597551535307,35649.0,1408.0,0.0,0.0
77000.0,1.36313627,1.1062441536305888E-7,77000.0,93.5987012987013,87.07621281181966,87.06977964323191,86.04789402173914,36649.0,1408.0,0.0,0.0
78000.0,1.374430634,1.1154274428751115E-7,78000.0,93.61538461538461,87.11069082486351,87.1101332988223,86.08821968321368,37649.0,1408.0,0.0,0.0
79000.0,1.385680572,1.1245746099610091E-7,79000.0,93.60632911392405,87.09186034501619,87.09833971902937,86.06543809313617,38649.0,1408.0,0.0,0.0
80000.0,1.396931259,1.1337223860483205E-7,80000.0,93.605,87.08765525104613,87.09286777505866,86.05500586038653,39649.0,1408.0,0.0,0.0
