learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.025089173,1.8894358375089035E-9,1000.0,93.89999999999999,87.42993735575337,87.23849372384936,86.0091743119266,1000.0,1408.0,0.0,0.0
2000.0,0.127959683,9.977559873676961E-9,2000.0,90.14999999999999,79.98292960494227,79.64876033057851,78.2079646017699,1.0,1176.0,2.0,0.0
3000.0,0.175570438,1.3784971243855025E-8,3000.0,87.53333333333333,75.03072200380903,74.4360902255639,74.36600411240575,601.0,1408.0,1.0,0.0
4000.0,0.22130342,1.7380695917134483E-8,4000.0,87.47500000000001,74.94958666818002,74.36028659160698,74.91236855282925,1.0,1176.0,1.0,0.0
5000.0,0.257053165,2.0239587476278343E-8,5000.0,85.61999999999999,71.22827034125272,70.70089649551751,70.5810147299509,601.0,1408.0,2.0,0.0
6000.0,0.279298426,2.1988606025762854E-8,6000.0,84.53333333333333,69.02805497520244,68.56368563685638,67.84476784476784,1.0,1176.0,1.0,0.0
7000.0,0.29943826,2.3599179791398344E-8,7000.0,83.35714285714285,66.7102855134919,66.34893125361062,66.05477855477855,601.0,1408.0,1.0,0.0
8000.0,0.321825727,2.535979619019354E-8,8000.0,82.92500000000001,65.84948774231614,65.33874651103781,65.74724172517554,1.0,1248.0,1.0,0.0
9000.0,0.344424615,2.7136618422565773E-8,9000.0,83.0,65.99058317036227,65.4783393501805,65.48612677644935,1.0,1176.0,2.0,0.0
10000.0,0.365868761,2.8860684303502653E-8,10000.0,83.85000000000001,67.67969767889397,67.16144774298496,66.9869174161897,801.0,1408.0,1.0,0.0
