learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.063332789,5.6888695147674945E-9,1000.0,89.4,78.5393822581429,78.00829875518673,76.44444444444444,1000.0,9232.0,0.0,25.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
2000.0,0.149114593,1.3896822624136176E-8,2000.0,92.65,85.10834439232927,84.76683937823834,83.61204013377926,2000.0,13840.0,0.0,10.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
3000.0,0.221107741,2.0788400800182588E-8,3000.0,94.13333333333334,88.14402317304561,87.93694311172035,87.08730741012472,3000.0,13840.0,0.0,9.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.268450629,2.5154145201813016E-8,4000.0,94.8,89.49896693562943,89.4147582697201,88.55255916345624,116.0,2320.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.300469727,2.812667991253237E-8,5000.0,94.58,89.03741195545064,88.86148787505137,87.98226164079821,705.0,2320.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.347119928,3.248367652562757E-8,6000.0,93.83333333333333,87.53386072963977,87.53369272237197,86.36698599852618,360.0,4624.0,2.0,27.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.386154992,3.6083311430141326E-8,7000.0,93.25714285714287,86.36910499889972,86.48726023475524,85.10571158094037,55.0,2320.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.419627479,3.92075379175134E-8,8000.0,93.13749999999999,86.1335273124048,86.24404911049861,84.85517241379308,653.0,4464.0,1.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
9000.0,0.454795108,4.251123679819206E-8,9000.0,92.91111111111111,85.67616008135901,85.81907090464547,84.35507601765572,651.0,6704.0,1.0,17.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.48897225,4.568411633740282E-8,10000.0,92.0,83.85278910773742,84.03193612774452,82.44073748902548,126.0,2320.0,3.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.521513295,4.8703759735746096E-8,11000.0,90.78181818181818,81.4717238639014,81.51995626025152,80.06291781360598,1126.0,2320.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.560219084,5.234368365426444E-8,12000.0,90.65833333333333,81.26389956246776,81.22592530564394,80.12058875687178,722.0,6928.0,1.0,24.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
13000.0,0.59193,5.5343589503678177E-8,13000.0,91.10769230769232,82.18310292810058,82.11633663366338,81.27328689454075,1722.0,9232.0,0.0,12.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.625778173,5.8565438219635844E-8,14000.0,91.52142857142857,83.02504036379409,82.97475616752726,82.33105090800834,2722.0,11536.0,0.0,20.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.662825768,6.211413700790662E-8,15000.0,91.89333333333335,83.7786684687997,83.65371689743246,83.29899739046836,3722.0,13840.0,0.0,29.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
16000.0,0.69727571,6.5310274654691E-8,16000.0,91.85624999999999,83.70906515820694,83.65939302733885,83.34398568324171,146.0,2320.0,3.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.734073216,6.872489597580707E-8,17000.0,91.9,83.79884293466496,83.79618733819723,83.54248834707782,110.0,2320.0,2.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.766797737,7.176156501337473E-8,18000.0,91.86111111111111,83.7224271990649,83.71498443752779,83.559645382112,318.0,2320.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.802508411,7.507533385498658E-8,19000.0,91.72105263157894,83.4427675524558,83.44907407407408,83.36857686614506,103.0,2320.0,3.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.837771808,7.834905729342875E-8,20000.0,91.385,82.7702139939422,82.79752396166135,82.7441161742614,131.0,2320.0,3.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.869982779,8.135880401114831E-8,21000.0,90.65714285714286,81.31291125984042,81.31428571428572,81.20689655172414,290.0,4624.0,1.0,17.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,0.905973499,8.472172502921896E-8,22000.0,90.27272727272727,80.54272103896646,80.5348371839185,80.37417461482025,301.0,4624.0,3.0,24.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,0.939937795,8.789326142024871E-8,23000.0,90.07391304347826,80.14166902833146,80.11843594879386,79.86772486772486,287.0,4624.0,1.0,28.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
24000.0,0.976744848,9.130876865438705E-8,24000.0,89.79583333333333,79.58243282191037,79.5353889863792,79.23168249660786,145.0,2320.0,4.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.012681343,9.466446610969597E-8,25000.0,89.58,79.14784262507175,79.10818830700137,78.73816519751878,295.0,4624.0,2.0,38.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26000.0,1.044971657,9.76796885046715E-8,26000.0,89.31153846153846,78.6069105831395,78.57528332433891,78.11121613106491,497.0,4624.0,2.0,27.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
27000.0,1.076364234,1.006299878735737E-7,27000.0,89.24444444444445,78.46804808604873,78.47932414406404,77.90458799360877,1497.0,6928.0,0.0,29.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
28000.0,1.108161399,1.0361890301304148E-7,28000.0,89.09642857142858,78.16467687589012,78.21153297173852,77.50184229918939,878.0,6928.0,1.0,27.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
29000.0,1.13724103,1.0631680315446112E-7,29000.0,88.86206896551724,77.69025948917195,77.78541953232461,76.92527503929132,182.0,2320.0,3.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.163094671,1.0870090757279556E-7,30000.0,88.48333333333333,76.92738333207284,77.03403350172826,76.06843527048555,77.0,2320.0,2.0,53.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.179808781,1.1026264992797336E-7,31000.0,88.00645161290322,75.97620616826426,76.06694560669456,75.18686599038975,288.0,4624.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
32000.0,1.202281527,1.1236154073894647E-7,32000.0,87.821875,75.61292969676036,75.68781583380124,74.89046391752578,298.0,4624.0,3.0,27.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33000.0,1.221552242,1.1416137092589299E-7,33000.0,87.74242424242425,75.46177182474703,75.51156314323768,74.8507833872171,285.0,4624.0,1.0,18.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
34000.0,1.242354088,1.1609128892468704E-7,34000.0,87.67647058823529,75.33542847724404,75.3572898900194,74.80911441111043,143.0,2320.0,2.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.2647666,1.1818413658513585E-7,35000.0,87.57142857142857,75.12974489469364,75.14995715509852,74.6680642907058,270.0,4624.0,2.0,40.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
36000.0,1.285474723,1.200937448890383E-7,36000.0,87.41666666666667,74.82426633947722,74.84451354953354,74.44864346550848,57.0,2320.0,3.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.305397846,1.2196617707655455E-7,37000.0,87.33243243243243,74.65902959276026,74.70724731530947,74.35995623632384,692.0,6704.0,1.0,29.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
38000.0,1.324116184,1.2372534137798474E-7,38000.0,87.26842105263158,74.53405707638055,74.60100797984042,74.33830159656289,945.0,6928.0,1.0,26.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
39000.0,1.345532262,1.2572554239130477E-7,39000.0,87.12820512820512,74.25546185538374,74.3576646064259,74.15701415701416,232.0,4624.0,4.0,37.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
40000.0,1.367424088,1.277443063670252E-7,40000.0,86.9,73.80000949749656,73.91607347304495,73.78951580632253,75.0,2320.0,3.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.381523083,1.2905235874927088E-7,41000.0,86.89268292682927,73.78545673905896,73.87330448733532,73.71613029443412,1075.0,2320.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,1.398495383,1.3062698569588574E-7,42000.0,87.01904761904761,74.03781265646428,74.10222306669199,73.90513569137988,210.0,2320.0,2.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,1.417045005,1.32347950718347E-7,43000.0,87.0906976744186,74.18061839351402,74.24010394913918,74.01582174788184,177.0,2320.0,3.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,1.435065284,1.340306580715337E-7,44000.0,87.15681818181818,74.31205772282007,74.37653033463319,74.09818031810057,434.0,4624.0,2.0,22.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
45000.0,1.453072837,1.357349481641253E-7,45000.0,87.27777777777777,74.5526481484818,74.57928155943343,74.2719755527593,1434.0,9232.0,0.0,24.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
46000.0,1.470897013,1.373896787830194E-7,46000.0,87.36304347826088,74.72243437218036,74.78966085523462,74.40672742482279,296.0,2320.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.489608381,1.391481880383028E-7,47000.0,87.41276595744681,74.82038902779678,74.90881330053438,74.46367678162903,895.0,6928.0,1.0,25.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
48000.0,1.506186563,1.4069654327101178E-7,48000.0,87.52916666666667,75.0518589442274,75.14016362805765,74.66028870168904,618.0,4464.0,1.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
49000.0,1.524790882,1.4243413395946225E-7,49000.0,87.54081632653062,75.07304017116503,75.16677513830132,74.64174454828661,339.0,4624.0,2.0,24.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
50000.0,1.543829298,1.4420080209164156E-7,50000.0,87.602,75.19359798105421,75.28802072951963,74.73714239139294,318.0,2320.0,2.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
