learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.047415028,4.180159342669778E-9,1000.0,91.4,82.7810591650816,83.955223880597,81.46551724137932,72.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.165290395,1.5005686161768517E-8,2000.0,90.25,80.39121043549612,81.23195380173243,78.71179039301309,148.0,2320.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.220104656,2.003975958717366E-8,3000.0,90.83333333333333,81.4700515604238,81.82419035029743,79.64470762398224,52.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.261062337,2.3825928951282468E-8,4000.0,91.10000000000001,82.03676357984092,82.35877106045592,80.50383351588172,239.0,4624.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.295215202,2.6972027714757457E-8,5000.0,90.94,81.67176782232441,82.20738413197172,80.0,367.0,2320.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.321739253,2.9415374240837992E-8,6000.0,90.81666666666666,81.44704517537875,82.02283849918435,79.83900475667764,107.0,2320.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.348808033,3.190890019500835E-8,7000.0,91.12857142857142,82.10496051976382,82.62451035254617,80.69630090146099,60.0,2320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.376119505,3.447305396521671E-8,8000.0,91.07499999999999,81.97404755152843,82.41379310344826,80.47045951859954,617.0,6704.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.401348101,3.685726744579358E-8,9000.0,91.5,82.84966994644415,83.17572025511328,81.49492017416546,1617.0,9072.0,0.0,1.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.426397943,3.9239674285000396E-8,10000.0,91.97999999999999,83.81195645666575,84.10307234886025,82.4890829694323,2617.0,11376.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.45153928,4.164696506385795E-8,11000.0,92.38181818181819,84.62519501217176,84.88183294244995,83.37631422336838,3617.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
12000.0,0.477230867,4.412092654285952E-8,12000.0,92.80000000000001,85.47337829842093,85.6668878566689,84.30232558139535,4617.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
13000.0,0.502280902,4.6548196534481314E-8,13000.0,93.13076923076923,86.14052639496097,86.2657643801907,85.02180476350217,5617.0,18224.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
14000.0,0.526386132,4.888531475160271E-8,14000.0,93.45714285714286,86.80021614543132,86.91054587024864,85.72319201995013,6617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
15000.0,0.549455743,5.112202471578908E-8,15000.0,93.74666666666667,87.38699391993941,87.4950006665778,86.36826042726348,7617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
16000.0,0.572391086,5.334571675030722E-8,16000.0,94.04375,87.97974024950238,88.10088650268449,86.97019414820892,8617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
17000.0,0.595499216,5.5586161317175465E-8,17000.0,94.28823529411765,88.47349269217901,88.53736276708771,87.50482563376657,9617.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
18000.0,0.619686276,5.794477897782707E-8,18000.0,94.47222222222223,88.84337228414604,88.85029134917077,87.89390436792797,10617.0,20592.0,0.0,0.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
19000.0,0.644937983,6.043611679291353E-8,19000.0,94.6157894736842,89.13107638925779,89.12858660998937,88.19524578813754,11617.0,24968.0,0.0,0.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
