learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.066466751,5.807919415274843E-9,1000.0,79.9,59.70005613922529,58.9795918367347,56.68103448275863,25.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.159707818,1.4299470116361564E-8,2000.0,80.60000000000001,61.06938779605577,61.083249749247756,58.458244111349046,49.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.22380401,2.0136769941712006E-8,3000.0,80.60000000000001,61.02003382728795,61.14819759679574,58.339298496778824,12.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.264654079,2.3857023722767418E-8,4000.0,79.5,58.78439084460585,58.79396984924624,55.91397849462366,36.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.302761467,2.7327498994012262E-8,5000.0,77.68,55.24056751110123,55.324259407526036,53.22715842414083,60.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.346813667,3.133937382374166E-8,6000.0,78.25,56.46573369527748,56.58682634730538,55.27758738862233,23.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.394638204,3.569479889294961E-8,7000.0,78.62857142857142,57.25537375301981,57.318116975748936,56.712962962962955,47.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.434861664,3.935798680952647E-8,8000.0,78.5125,57.024618593490004,56.92808819844649,56.9172932330827,10.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.471619696,4.27055749747302E-8,9000.0,77.56666666666666,55.09496558491605,55.053428317008,54.217687074829925,34.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.511038423,4.629547510846415E-8,10000.0,77.46,54.824010056568184,54.76620509733091,53.29465395772897,58.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.553599286,5.017153249041695E-8,11000.0,77.43636363636364,54.74422780875867,54.48377040161378,52.93894577171028,21.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.595270076,5.396653009634673E-8,12000.0,77.00833333333334,53.833315679889346,53.6925142665324,51.68126094570928,45.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.642940756,5.8307943265452575E-8,13000.0,76.24615384615385,52.39197589428702,52.23511214230471,50.828025477706994,8.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.680350082,6.171484538104592E-8,14000.0,76.23571428571428,52.42680491443831,52.17078780908568,51.48731408573928,32.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.717105727,6.506221615993936E-8,15000.0,76.38000000000001,52.74132337099622,52.282828282828284,52.21203129214999,56.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.754463435,6.846441737625955E-8,16000.0,76.1625,52.32424910692344,51.892028254288604,52.24142248935638,19.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.800370367,7.264520437443216E-8,17000.0,75.90588235294118,51.81377085366468,51.486438469738246,51.66391314609394,43.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.8397891,7.623510505459169E-8,18000.0,76.06666666666668,52.13806457428339,51.839016210173284,51.80668978632957,6.0,2320.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.875878811,7.952182860467791E-8,19000.0,76.39473684210526,52.79464875064001,52.52963590177815,52.226246271836374,30.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.908300286,8.247448249018649E-8,20000.0,76.595,53.19222804994482,52.85052377115229,52.496448142886145,54.0,2320.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
