learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.036476247,3.3661637325460716E-9,1000.0,92.5,84.88208022576094,85.54913294797689,83.14606741573034,1000.0,6768.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
2000.0,0.139733231,1.3568474863291614E-8,2000.0,93.65,87.16391179282755,87.6937984496124,85.74635241301908,2000.0,11536.0,0.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3000.0,0.191556457,1.872008194134053E-8,3000.0,94.66666666666667,89.22348472092193,89.65071151358343,88.10408921933085,3000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.246450724,2.4018374072838987E-8,4000.0,92.925,85.72181761766258,86.09336609336609,84.39051296194154,172.0,2320.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.270302049,2.630565056601746E-8,5000.0,90.92,81.7853472988633,82.24481814626515,80.68906848149724,1013.0,2320.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.300499601,2.921669955826054E-8,6000.0,91.7,83.39214633053143,83.76263449625041,82.8748280605227,2013.0,4240.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.329996819,3.209869623243809E-8,7000.0,91.88571428571429,83.77146698999651,84.15178571428571,83.56005788712011,3013.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.357962057,3.486521762420734E-8,8000.0,91.6125,83.2247798252352,83.54585581167238,83.1322272498743,4013.0,11536.0,0.0,1.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9000.0,0.389182981,3.7897405867021944E-8,9000.0,89.7,79.37892067446724,79.7244094488189,78.97005444646098,1046.0,4624.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
10000.0,0.413725921,4.0294790945442185E-8,10000.0,89.51,78.98269849328588,79.28923988153998,78.31748656469615,2046.0,6768.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.43691494,4.255992332704779E-8,11000.0,89.48181818181818,78.90485308051468,79.25779849408391,78.00380228136883,3046.0,6768.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.46395893,4.5235308276526624E-8,12000.0,88.78333333333333,77.48625319150342,77.85820036190162,76.42732049036778,4046.0,11536.0,0.0,3.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.49385202,4.813729942827589E-8,13000.0,87.75384615384615,75.46686859637083,75.74280054852962,74.60114869176769,923.0,4624.0,2.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.518441492,5.053775398581392E-8,14000.0,87.77142857142857,75.52009982831386,75.74727298484204,74.95977768026911,1923.0,6696.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
15000.0,0.542130213,5.285027612076244E-8,15000.0,87.79333333333334,75.57931571508779,75.82838283828383,75.3068105192178,2923.0,6696.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.56833508,5.544156434557711E-8,16000.0,87.47500000000001,74.94955339750668,75.17343904856295,74.87462387161486,3923.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.595059655,5.8019864227674485E-8,17000.0,87.03529411764706,74.07211268740905,74.32133286729581,73.88934960312758,998.0,2320.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.618597794,6.02907471512941E-8,18000.0,87.56666666666668,75.1342760819525,75.37682913411817,74.8369687429728,1998.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.642225008,6.257022374055659E-8,19000.0,88.05263157894737,76.10367845446594,76.36893608161566,75.70633561643835,2998.0,2320.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.669546256,6.525545178507972E-8,20000.0,88.27000000000001,76.53619909889203,76.78147268408551,76.08562691131499,3998.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
