learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.051309992,4.580674516889784E-9,1000.0,91.5,82.93227526826448,82.6530612244898,81.68103448275863,601.0,2360.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2000.0,0.139791733,1.3324948295543178E-8,2000.0,91.3,82.51574336728696,82.54764292878637,81.37044967880087,1601.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
3000.0,0.191353167,1.8593418489348973E-8,3000.0,92.60000000000001,85.12614635871985,85.18024032042725,84.10880458124554,2601.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.230932201,2.2722570665021326E-8,4000.0,93.8,87.53280180171122,87.47474747474746,86.63072776280323,3601.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.267033236,2.658690045185801E-8,5000.0,94.42,88.78102950098663,88.71359223300972,87.98966853207061,4601.0,15984.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
6000.0,0.299498599,3.0152498769013005E-8,6000.0,94.88333333333333,89.71224443975295,89.64586846543001,88.98852223816355,5601.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
7000.0,0.335321821,3.416421120427342E-8,7000.0,95.32857142857142,90.59730023802098,90.54640069384216,89.86988847583643,6601.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
8000.0,0.36172092,3.71770983327056E-8,8000.0,95.7,91.34611278518126,91.28451988852292,90.68760151597183,7601.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9000.0,0.388162207,4.0251766993842193E-8,9000.0,96.01111111111112,91.97193202574468,91.96688297158201,91.3577274915744,8601.0,18488.0,0.0,0.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
10000.0,0.413878095,4.331233688808978E-8,10000.0,96.17999999999999,92.3094035660611,92.2859450726979,91.71006944444444,9601.0,20752.0,0.0,0.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
11000.0,0.439988877,4.6492209205552934E-8,11000.0,96.31818181818181,92.58873159809504,92.6000365430294,92.02127659574467,10601.0,23056.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
12000.0,0.464518457,4.953205999854538E-8,12000.0,96.46666666666667,92.88772050687405,92.8811282740094,92.34104046242774,11601.0,23056.0,0.0,0.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
13000.0,0.491489435,5.295930860856755E-8,13000.0,96.6076923076923,93.1673229993414,93.14152410575427,92.61182777684704,12601.0,26888.0,0.0,0.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
14000.0,0.518607435,5.6497113837992974E-8,14000.0,96.67142857142858,93.29783610920444,93.26102675343458,92.76285137443703,13601.0,31656.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
15000.0,0.542695174,5.969348237306914E-8,15000.0,96.75333333333333,93.46165963754055,93.43842630018864,92.93178519593614,14601.0,31880.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
16000.0,0.566008112,6.28369745000638E-8,16000.0,96.8125,93.58422776746222,93.55572403335862,93.08474576271186,15601.0,31880.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
17000.0,0.590741241,6.62384054903003E-8,17000.0,96.9235294117647,93.80621430022023,93.79007361671813,93.31458519749457,16601.0,33960.0,0.0,0.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
18000.0,0.614284497,6.952799378755812E-8,18000.0,96.99444444444445,93.94705707506235,93.93973339307719,93.45670053217225,17601.0,34184.0,0.0,0.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
19000.0,0.637701951,7.285016553191468E-8,19000.0,97.1,94.15824318702948,94.14577135571611,93.67684186366766,18601.0,34184.0,0.0,0.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
20000.0,0.664184551,7.532986832870171E-8,20000.0,96.71,93.3728243173596,93.35890189745659,92.8267742287147,1.0,2088.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.688981967,7.768585569273888E-8,21000.0,96.1,92.15269122676445,92.12727097952514,91.55583049798948,601.0,2424.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,0.715789158,8.033787027151635E-8,22000.0,95.92727272727272,91.81381702932539,91.78584525119179,91.24315871774824,1601.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
23000.0,0.740703536,8.288600760352695E-8,23000.0,95.93478260869566,91.83527249756209,91.80615195863642,91.31605832636761,2601.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
24000.0,0.763878068,8.530584165562774E-8,24000.0,95.96666666666667,91.90494487445862,91.86144274424079,91.43893163527018,3601.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
25000.0,0.786976933,8.77672534619065E-8,25000.0,96.024,92.0243677806206,91.97481026965929,91.60614761020098,4601.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
26000.0,0.810952711,9.038790565426567E-8,26000.0,96.07692307692308,92.13451773181036,92.07705452850708,91.7589076512887,5601.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
27000.0,0.833500413,9.290076132684947E-8,27000.0,96.15185185185186,92.28893984772756,92.23119485569015,91.96690892222051,6601.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
28000.0,0.856053955,9.546257847767738E-8,28000.0,96.23214285714286,92.45231470031442,92.38816738816739,92.16719875269136,7601.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
29000.0,0.878887003,9.810505356924402E-8,29000.0,96.29310344827586,92.57675223864436,92.52485918920799,92.32636162466986,8601.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
30000.0,0.901763027,1.0080150368783209E-7,30000.0,96.33,92.65280373146993,92.59284176533909,92.43610882110471,9601.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
31000.0,0.919388969,1.0293737100295309E-7,31000.0,96.34838709677419,92.69111889926234,92.64170566822672,92.49834327369119,10601.0,20592.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
32000.0,0.933976502,1.0473690247434709E-7,32000.0,96.3875,92.77061602813605,92.71581600504096,92.60302022011774,11601.0,20752.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
33000.0,0.950253327,1.0679764716340022E-7,33000.0,96.45151515151515,92.90031685498401,92.83529123837495,92.76981970857003,12601.0,24968.0,0.0,0.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
34000.0,0.968242647,1.0913361922242161E-7,34000.0,96.47941176470589,92.95683058054517,92.88600974682039,92.84347722109291,13601.0,29192.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
35000.0,0.983476572,1.111459392861194E-7,35000.0,96.51142857142857,93.02152493202817,92.95644649552928,92.93034566614557,14601.0,29576.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
36000.0,0.998787947,1.1320128768795687E-7,36000.0,96.53888888888889,93.0767199689671,93.01138594424813,92.9948839039748,15601.0,29576.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
37000.0,1.014281451,1.1531427222020717E-7,37000.0,96.5972972972973,93.19403977709214,93.13372600349041,93.1352235550709,16601.0,29576.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
38000.0,1.029705697,1.1745085081531976E-7,38000.0,96.65526315789474,93.31031421012867,93.25299925682131,93.27442057360567,17601.0,29576.0,0.0,0.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
39000.0,1.046097689,1.1976646683924108E-7,39000.0,96.70256410256411,93.4050801112088,93.34540750323416,93.3874948580831,18601.0,31880.0,0.0,0.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
40000.0,1.063533695,1.2139941502489357E-7,40000.0,96.5775,93.15500088984989,93.09388084548253,93.15123317824805,1.0,2160.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,1.081047255,1.2304807179341094E-7,41000.0,96.15121951219511,92.30235339322334,92.23425196850393,92.26773814190513,201.0,2360.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
42000.0,1.097117714,1.2461446185964057E-7,42000.0,95.86428571428571,91.7281178818376,91.65345250108116,91.66386715937995,1201.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
43000.0,1.112254787,1.261222988963955E-7,43000.0,95.64186046511628,91.28265695234742,91.19443661310027,91.18946873530794,2201.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
44000.0,1.127287438,1.276519347973706E-7,44000.0,95.50681818181819,91.01176365345113,90.92203140784278,90.88898105903499,3201.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
