learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.03157622,2.3409793626103136E-9,1000.0,81.3,71.78048537565152,71.87969924812029,70.87227414330218,1000.0,7888.0,0.0,0.0
2000.0,0.11594005,9.020821007134186E-9,2000.0,79.75,69.55577363477377,69.5717505634861,68.6046511627907,2000.0,7888.0,0.0,0.0
3000.0,0.16494247,1.2902912158436244E-8,3000.0,80.06666666666666,70.08213903700509,69.87405541561714,69.25449871465294,3000.0,7888.0,0.0,0.0
4000.0,0.220067721,1.7270068905397005E-8,4000.0,79.4,69.17134521433773,68.88217522658611,68.57360793287567,4000.0,7888.0,0.0,0.0
5000.0,0.244046735,1.9169744841123205E-8,5000.0,79.32000000000001,69.05982071213401,68.75188878815352,68.45637583892619,5000.0,7888.0,0.0,0.0
6000.0,0.265794205,2.0893577604440765E-8,6000.0,79.33333333333333,69.0400789078505,68.67895933316494,68.68686868686869,6000.0,7888.0,0.0,0.0
7000.0,0.291445195,2.2926826390323954E-8,7000.0,79.55714285714286,69.3854198681015,68.91157940473605,68.93182805036909,7000.0,7888.0,0.0,0.0
8000.0,0.320036724,2.5193159643964223E-8,8000.0,79.53750000000001,69.36911271703408,68.89015583428353,68.84871550903901,8000.0,7888.0,0.0,0.0
9000.0,0.347868923,2.7399303922419336E-8,9000.0,79.83333333333333,69.80291033394322,69.32567179313841,69.36708860759494,9000.0,7888.0,0.0,0.0
10000.0,0.375237831,2.956872502320136E-8,10000.0,79.74,69.65480649891596,69.13467397928092,69.2797573919636,10000.0,7888.0,0.0,0.0
11000.0,0.405571785,3.1974240409651156E-8,11000.0,79.28181818181818,68.98049942620916,68.52209944751382,68.54382332643202,25.0,7888.0,2.0,0.0
12000.0,0.433841465,3.421605663347783E-8,12000.0,78.99166666666667,68.5334876522439,68.11282570199847,68.16517237024877,897.0,7888.0,3.0,0.0
13000.0,0.457208388,3.6070094487002746E-8,13000.0,79.08461538461539,68.65974198314879,68.19883040935673,68.376366596883,1897.0,7888.0,0.0,0.0
14000.0,0.480195492,3.789399577511475E-8,14000.0,79.08571428571427,68.66667147714385,68.260162601626,68.35620879714686,2897.0,7888.0,0.0,0.0
15000.0,0.503132233,3.971390103394994E-8,15000.0,79.13333333333334,68.74622870327583,68.40617745028767,68.40298808802746,3897.0,7888.0,0.0,0.0
16000.0,0.525997902,4.152916089865069E-8,16000.0,79.0875,68.68560591667975,68.35634575373558,68.29938417811464,4897.0,7888.0,0.0,0.0
17000.0,0.548605607,4.332394151580624E-8,17000.0,79.20588235294119,68.87324062719642,68.56380613606048,68.4375,5897.0,7888.0,0.0,0.0
18000.0,0.571518264,4.514293166412662E-8,18000.0,79.34444444444443,69.07694814984072,68.71950193504964,68.66677903252992,6897.0,7888.0,0.0,0.0
19000.0,0.594089411,4.693481001456372E-8,19000.0,79.33157894736841,69.04861790814371,68.73656556006688,68.69669190912714,7897.0,7888.0,0.0,0.0
20000.0,0.616802411,4.8737949791796926E-8,20000.0,79.49000000000001,69.28128327611354,68.94306480920655,68.95951570185397,8897.0,7888.0,0.0,0.0
21000.0,0.639452548,5.053609900081738E-8,21000.0,79.5952380952381,69.42475648161523,69.1126648886326,69.18374685364977,9897.0,7888.0,0.0,0.0
22000.0,0.661950902,5.232219846014348E-8,22000.0,79.57272727272728,69.39404291208531,69.08365437534397,69.13673511434655,10897.0,7888.0,0.0,0.0
23000.0,0.68390786,5.40662718578097E-8,23000.0,79.66521739130434,69.53267161075124,69.21811241279451,69.27675228273007,11897.0,7888.0,0.0,0.0
24000.0,0.706584132,5.586748142215114E-8,24000.0,79.58333333333333,69.42373689125594,69.09297338211177,69.09882071009648,12897.0,7888.0,0.0,0.0
25000.0,0.729219592,5.766544922943746E-8,25000.0,79.56800000000001,69.40168832905731,69.07054193157735,69.07428709814131,13897.0,7888.0,0.0,0.0
26000.0,0.751782452,5.945765031217702E-8,26000.0,79.58076923076923,69.41311692313249,69.07618825722275,69.13192627478341,14897.0,7888.0,0.0,0.0
