learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.031355442,2.3980707833915947E-9,1000.0,80.4,70.59013298961803,70.919881305638,69.70633693972181,526.0,7888.0,1.0,28.0
2000.0,0.122722702,9.769341045344869E-9,2000.0,80.15,70.1743149765132,69.99244142101286,69.20093095422808,356.0,7888.0,2.0,47.0
3000.0,0.176983738,1.415416586863498E-8,3000.0,79.76666666666667,69.60731854434243,69.63481740870435,68.69520371325424,319.0,7888.0,2.0,23.0
4000.0,0.243053351,1.9478608761502223E-8,4000.0,79.325,68.96995056766792,68.92145809845923,68.39893007260221,194.0,7888.0,1.0,38.0
5000.0,0.299219653,2.4004959892127664E-8,5000.0,79.64,69.45626389019905,69.4110576923077,69.02951019166413,138.0,7888.0,1.0,24.0
6000.0,0.336827137,2.703568599767362E-8,6000.0,79.46666666666667,69.22556842356809,69.11506643268989,68.93595562279373,722.0,7888.0,1.0,23.0
7000.0,0.365757628,2.9367147318509718E-8,7000.0,79.34285714285714,69.0520526313231,69.00985855122161,68.6673889490791,193.0,7888.0,3.0,28.0
8000.0,0.394397352,3.167517619867706E-8,8000.0,79.4125,69.1523007289197,69.1746209994385,68.83632923368023,1193.0,7888.0,0.0,59.0
9000.0,0.424274402,3.4082919173232385E-8,9000.0,79.14444444444445,68.76857445264582,68.88778385546162,68.34204756282678,764.0,7888.0,2.0,34.0
10000.0,0.453818238,3.648319164944192E-8,10000.0,79.22,68.86728329621579,69.02206320810971,68.534221683828,257.0,7888.0,2.0,38.0
11000.0,0.478821664,3.84981771748306E-8,11000.0,79.42727272727272,69.16753814540209,69.35680433310765,68.90629293762022,529.0,7888.0,1.0,32.0
12000.0,0.50312229,4.045868777546204E-8,12000.0,79.46666666666667,69.21908096345692,69.33034602937515,68.91244007065353,354.0,7888.0,2.0,47.0
13000.0,0.527370359,4.241816998785569E-8,13000.0,79.42307692307692,69.15268771146154,69.28817451205511,68.81557472604337,317.0,7888.0,2.0,23.0
14000.0,0.551180235,4.4336969255656006E-8,14000.0,79.32857142857142,69.01162266068765,69.11749012912175,68.73041599135603,192.0,7888.0,1.0,38.0
15000.0,0.574806652,4.6240983860366465E-8,15000.0,79.42666666666666,69.16075440109812,69.2598864428728,68.90366787585653,136.0,7888.0,1.0,24.0
16000.0,0.598682203,4.8165075769838364E-8,16000.0,79.375,69.0924241474966,69.15599588746612,68.81496881496881,720.0,7888.0,1.0,23.0
17000.0,0.622971436,5.0122505640360636E-8,17000.0,79.32941176470588,69.0283212044614,69.11040787623067,68.71438746438746,191.0,7888.0,3.0,28.0
18000.0,0.646271995,5.200025987765856E-8,18000.0,79.36111111111111,69.07478628200808,69.18035506885683,68.78413578690868,1191.0,7888.0,0.0,59.0
19000.0,0.670030829,5.391494575351063E-8,19000.0,79.2421052631579,68.90392773112792,69.05453118870145,68.5661911213836,762.0,7888.0,2.0,34.0
20000.0,0.693502597,5.582189645207177E-8,20000.0,79.27499999999999,68.94690190301213,69.1086600089432,68.64836245367218,255.0,7888.0,2.0,38.0
21000.0,0.716394729,5.766673622024142E-8,21000.0,79.37619047619047,69.09352618199125,69.27497162315551,68.83051457358764,527.0,7888.0,1.0,32.0
