learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.039900068,2.7946672533204157E-9,1000.0,69.39999999999999,54.095065219511085,51.88679245283018,52.63157894736842,25.0,7888.0,16.0,0.0
2000.0,0.124429038,8.940716947457856E-9,2000.0,68.15,52.227997693144744,50.54347826086957,50.46656298600312,49.0,7888.0,16.0,0.0
3000.0,0.167045804,1.203935593051215E-8,3000.0,68.60000000000001,52.89678128005415,52.27963525835867,51.31782945736435,12.0,7888.0,17.0,0.0
4000.0,0.208839206,1.5078128620857993E-8,4000.0,69.375,54.05087487134244,53.545695866514976,52.55615801704106,36.0,7888.0,16.0,0.0
5000.0,0.24587776,1.7771179222125147E-8,5000.0,68.76,53.12807953318688,52.965974104185484,51.715610510046375,60.0,7888.0,16.0,0.0
6000.0,0.272504182,1.9707170075782473E-8,6000.0,68.91666666666667,53.35954451906502,53.06995470558632,52.17948717948718,23.0,7888.0,17.0,0.0
7000.0,0.30026399,2.1725568732097746E-8,7000.0,68.82857142857142,53.22990182566285,53.034868704261726,52.15961411971058,47.0,7888.0,16.0,0.0
8000.0,0.330685051,2.393746546589666E-8,8000.0,69.0125,53.505834065997796,53.48968105065666,52.473159509202446,10.0,7888.0,17.0,0.0
9000.0,0.360248327,2.6086993177135787E-8,9000.0,69.04444444444444,53.55808781344331,53.434731739929795,52.61098826331009,34.0,7888.0,16.0,0.0
10000.0,0.388708871,2.815634191930294E-8,10000.0,68.89999999999999,53.33657026492224,53.21901323706376,52.43193637197919,58.0,7888.0,16.0,0.0
11000.0,0.413895775,2.9987666299872927E-8,11000.0,69.0,53.4863788127839,53.38345864661653,52.4738675958188,21.0,7888.0,17.0,0.0
12000.0,0.438149083,3.175110948645406E-8,12000.0,68.825,53.22709692680815,53.196546978606285,52.34394904458599,45.0,7888.0,16.0,0.0
13000.0,0.462260238,3.350421681537396E-8,13000.0,68.8076923076923,53.208289621718464,53.21333794854043,52.46747157425858,8.0,7888.0,17.0,0.0
14000.0,0.486157555,3.524177611413929E-8,14000.0,68.81428571428572,53.21984663848735,53.27982878544677,52.53315938247445,32.0,7888.0,16.0,0.0
15000.0,0.510014189,3.697637737686435E-8,15000.0,68.74666666666667,53.11622429326308,53.08246597277822,52.45436105476673,56.0,7888.0,16.0,0.0
16000.0,0.53418438,3.873377717722621E-8,16000.0,68.66875,53.00034862410964,53.04860915987637,52.406721731700365,19.0,7888.0,17.0,0.0
17000.0,0.557925264,4.0459962328266766E-8,17000.0,68.72941176470589,53.09290528531497,53.27825628405696,52.57805530776093,43.0,7888.0,16.0,0.0
18000.0,0.581809619,4.219657916794221E-8,18000.0,68.65555555555557,52.97813567577497,53.112274578243166,52.36808780075981,6.0,7888.0,17.0,0.0
19000.0,0.606248692,4.397352921402289E-8,19000.0,68.57368421052632,52.85616296431292,52.932366388144416,52.28162710780788,30.0,7888.0,16.0,0.0
20000.0,0.631012227,4.577407069361872E-8,20000.0,68.64,52.95090611588861,53.008166629205064,52.26788432267884,54.0,7888.0,16.0,0.0
21000.0,0.655377937,4.754568656085266E-8,21000.0,68.68095238095238,53.01469241253465,52.97440297440297,52.39232718060079,17.0,7888.0,17.0,0.0
22000.0,0.6797669,4.9318993139490485E-8,22000.0,68.67272727272727,53.00321145548271,52.926712656239324,52.4263132463588,41.0,7888.0,16.0,0.0
23000.0,0.704073395,5.1072519988355536E-8,23000.0,68.7304347826087,53.089179988282496,53.07627063352255,52.484143763213545,4.0,5696.0,17.0,0.0
24000.0,0.728066854,5.2817069713121486E-8,24000.0,68.67083333333333,52.99824011675324,52.9798011381402,52.38125395820139,28.0,7888.0,16.0,0.0
25000.0,0.752234897,5.457431333371748E-8,25000.0,68.56400000000001,52.83745724111489,52.8695652173913,52.19877136427225,52.0,7888.0,16.0,0.0
26000.0,0.776460269,5.6335725310829775E-8,26000.0,68.55384615384615,52.82179406562193,52.818973974262796,52.20390506255115,15.0,7888.0,17.0,0.0
27000.0,0.800559085,5.808793547860864E-8,27000.0,68.5925925925926,52.88035325213912,52.89150602744292,52.27375056280955,39.0,7888.0,16.0,0.0
28000.0,0.824886926,5.985151126493389E-8,28000.0,68.69642857142857,53.03475772197462,53.08569287587647,52.421018347627836,2.0,7048.0,17.0,0.0
29000.0,0.849103334,6.161227147509034E-8,29000.0,68.69310344827586,53.0308737888339,53.05098769262592,52.4261161182142,26.0,7888.0,16.0,0.0
30000.0,0.873121443,6.335861348627549E-8,30000.0,68.69666666666666,53.034661285162,53.052042193670935,52.438592048619896,50.0,7888.0,16.0,0.0
31000.0,0.897137444,6.510480222607031E-8,31000.0,68.6774193548387,53.00504707465434,53.02370585389453,52.36226266987195,13.0,7888.0,17.0,0.0
32000.0,0.921224097,6.685612802956046E-8,32000.0,68.60625,52.899208841591175,52.94172756230092,52.295930481029494,37.0,7888.0,16.0,0.0
33000.0,0.945197886,6.859924756066045E-8,33000.0,68.64242424242424,52.956604607188375,53.01062573789845,52.39672462968073,61.0,7888.0,16.0,0.0
34000.0,0.96967973,7.037930745998397E-8,34000.0,68.62941176470588,52.93790247827149,53.01114586545663,52.3966794608587,24.0,7888.0,17.0,0.0
35000.0,0.994096965,7.215466967844507E-8,35000.0,68.57428571428571,52.85372964320943,52.882967786154886,52.315095812017674,48.0,7888.0,16.0,0.0
36000.0,1.018836774,7.39534860550964E-8,36000.0,68.52777777777777,52.78433053202307,52.85060341240116,52.27464195450715,11.0,7888.0,17.0,0.0
37000.0,1.043221963,7.572651822850315E-8,37000.0,68.54594594594595,52.813003517056664,52.9473599094364,52.336486873899325,35.0,7888.0,16.0,0.0
