learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.042112214,3.284200297353996E-9,1000.0,81.8,72.52398867142917,73.27459618208515,71.20253164556961,1000.0,7888.0,0.0,2.0
2000.0,0.125432295,1.013454046877308E-8,2000.0,80.25,70.31137728151428,70.38980509745126,69.96197718631178,885.0,7888.0,1.0,8.0
3000.0,0.162081121,1.3074584676089386E-8,3000.0,80.86666666666666,71.17802540350763,70.84814626714068,70.53388090349075,27.0,7888.0,1.0,7.0
4000.0,0.220142867,1.784825635610769E-8,4000.0,80.2,70.30637299469602,70.2143663031215,69.72477064220183,898.0,7888.0,1.0,8.0
5000.0,0.254630625,2.0661115554852617E-8,5000.0,80.28,70.43819883603256,70.22047719722137,69.91150442477876,1898.0,7888.0,0.0,2.0
6000.0,0.292285794,2.37323122531693E-8,6000.0,79.95,69.90967399395424,69.90995497748874,69.29555895865236,655.0,7888.0,1.0,5.0
7000.0,0.320833404,2.6073211942106072E-8,7000.0,79.85714285714286,69.74687606610078,69.72299763796435,69.22741161065038,1655.0,7888.0,0.0,5.0
8000.0,0.350152037,2.8483706591181045E-8,8000.0,80.0,69.9609344299063,69.96996996996998,69.37799043062202,2655.0,7888.0,0.0,7.0
9000.0,0.374276353,3.0467139264545924E-8,9000.0,80.14444444444445,70.19401411739588,70.17690253671562,69.76311336717427,3655.0,7888.0,0.0,5.0
10000.0,0.397911111,3.240205529848528E-8,10000.0,80.22,70.3080950940747,70.26458208057727,69.8659354052407,4655.0,7888.0,0.0,6.0
11000.0,0.422088554,3.4376145572569225E-8,11000.0,80.04545454545455,70.04069750070552,69.93562525681412,69.61517165005536,688.0,7888.0,1.0,6.0
12000.0,0.44521516,3.626443491636672E-8,12000.0,80.05833333333334,70.06631911449091,70.02004510147832,69.7280202403542,1688.0,7888.0,0.0,4.0
13000.0,0.468097086,3.814572181618669E-8,13000.0,80.21538461538461,70.29891104505202,70.22458902523732,70.00583090379008,2688.0,7888.0,0.0,3.0
14000.0,0.490844283,4.0001008040565584E-8,14000.0,80.32857142857142,70.46328561734683,70.45381396845832,70.14957728159547,3688.0,7888.0,0.0,2.0
15000.0,0.514556081,4.190321725062198E-8,15000.0,80.32666666666667,70.44729871085329,70.38635223281486,70.10737439222042,78.0,7888.0,1.0,7.0
16000.0,0.537373539,4.376423403887699E-8,16000.0,80.36875,70.5116691872121,70.47654854779584,70.2077207625913,1078.0,7888.0,0.0,3.0
17000.0,0.56094508,4.5655191543888715E-8,17000.0,80.35882352941177,70.49496662208988,70.41729423230264,70.20877944325481,39.0,7888.0,1.0,4.0
18000.0,0.583649045,4.7516913229386425E-8,18000.0,80.37222222222222,70.5130181218216,70.50179510728898,70.21330410589326,1039.0,7888.0,0.0,7.0
19000.0,0.606563357,4.940086281404934E-8,19000.0,80.37894736842105,70.51835084069857,70.5296442687747,70.21888480587954,2039.0,7888.0,0.0,11.0
20000.0,0.629311723,5.127116879039548E-8,20000.0,80.38,70.51362669835103,70.55601410670069,70.19595928907792,3039.0,7888.0,0.0,2.0
21000.0,0.651783266,5.3103972373555103E-8,21000.0,80.56190476190476,70.77874033197534,70.85118537560697,70.4716435185185,4039.0,7888.0,0.0,2.0
22000.0,0.676286136,5.506964300666418E-8,22000.0,80.51363636363637,70.70178852698578,70.77311153531497,70.39160162994682,75.0,7888.0,2.0,3.0
23000.0,0.699428355,5.695920715323753E-8,23000.0,80.5304347826087,70.73223872804152,70.82356007297368,70.4539456320929,1075.0,7888.0,0.0,4.0
24000.0,0.721958733,5.8796809383237525E-8,24000.0,80.54583333333333,70.75843928101712,70.82968886667501,70.50164265857974,2075.0,7888.0,0.0,6.0
25000.0,0.745504312,6.072754328905088E-8,25000.0,80.5,70.69192459490426,70.74005161754998,70.44379774463442,882.0,7888.0,1.0,6.0
26000.0,0.769242384,6.263186025343215E-8,26000.0,80.5153846153846,70.7148946967946,70.74551019229658,70.43995798809661,655.0,7888.0,1.0,2.0
27000.0,0.792391072,6.45300491574593E-8,27000.0,80.51851851851852,70.71674683866178,70.75340561579094,70.43116532688741,820.0,7888.0,1.0,3.0
28000.0,0.815288845,6.640766306955368E-8,28000.0,80.49285714285715,70.68179139836931,70.70214021348495,70.39566395663957,1820.0,7888.0,0.0,9.0
29000.0,0.83765748,6.823406401683473E-8,29000.0,80.52068965517242,70.72589309971269,70.72753653228314,70.44729270206645,2820.0,7888.0,0.0,6.0
30000.0,0.859817223,7.004340891457681E-8,30000.0,80.54,70.76145729424363,70.79101415920348,70.47936893203884,3820.0,7888.0,0.0,3.0
31000.0,0.882091889,7.187476862370554E-8,31000.0,80.54838709677419,70.7741617792968,70.8117527469868,70.50623624358035,4820.0,7888.0,0.0,9.0
32000.0,0.904412088,7.370502155542581E-8,32000.0,80.54375,70.76700427613264,70.80695831575,70.50686878256751,5820.0,7888.0,0.0,5.0
33000.0,0.926768213,7.55382204136956E-8,33000.0,80.53333333333333,70.75048040216649,70.79468994362612,70.51723346642801,6820.0,7888.0,0.0,6.0
34000.0,0.949001357,7.736616630203608E-8,34000.0,80.60000000000001,70.84931780691306,70.91069459757442,70.62438763694665,7820.0,7888.0,0.0,5.0
35000.0,0.972400283,7.927978989623073E-8,35000.0,80.50285714285714,70.70762843029918,70.76639677847749,70.49336273619579,78.0,7888.0,1.0,11.0
36000.0,0.994678304,8.110363340828775E-8,36000.0,80.50833333333334,70.7152157501808,70.74909333444495,70.47711208347359,1078.0,7888.0,0.0,2.0
37000.0,1.016924228,8.292296157065986E-8,37000.0,80.48378378378378,70.68988057993208,70.7379341086842,70.48557181394588,2078.0,7888.0,0.0,6.0
38000.0,1.039157082,8.473629741836132E-8,38000.0,80.47105263157894,70.67361971094824,70.71197411003234,70.4683831429822,3078.0,7888.0,0.0,6.0
39000.0,1.062777593,8.663118339750295E-8,39000.0,80.43333333333334,70.62038990193514,70.65451469004769,70.43623121028979,16.0,7888.0,1.0,8.0
40000.0,1.085651863,8.850384026107895E-8,40000.0,80.485,70.69112759775858,70.72786590167622,70.52003474451452,1016.0,7888.0,0.0,9.0
41000.0,1.107913648,9.033414093100983E-8,41000.0,80.49756097560976,70.7078982023283,70.73099308173798,70.54012231965221,2016.0,7888.0,0.0,2.0
42000.0,1.126785093,9.188569748526024E-8,42000.0,80.49047619047619,70.69894025977868,70.73362383027359,70.55483685496623,3016.0,7888.0,0.0,19.0
43000.0,1.14297835,9.321354210252149E-8,43000.0,80.44418604651162,70.63114294907862,70.64204168557762,70.49370153338714,775.0,7888.0,1.0,5.0
44000.0,1.158542826,9.448982677317742E-8,44000.0,80.44772727272728,70.6357561722313,70.66625750136389,70.50231441796674,1775.0,7888.0,0.0,6.0
45000.0,1.17405866,9.575531513554354E-8,45000.0,80.42666666666666,70.61017117421254,70.63706370637064,70.49542759521657,2775.0,7888.0,0.0,5.0
46000.0,1.191751977,9.720616444522515E-8,46000.0,80.39782608695653,70.56637598951784,70.58554885010602,70.45543905635648,361.0,7888.0,1.0,5.0
47000.0,1.207407945,9.849335362249986E-8,47000.0,80.43829787234043,70.62666209435089,70.64964086193136,70.51220372686744,1361.0,7888.0,0.0,3.0
48000.0,1.223716646,9.980167116325556E-8,48000.0,80.44375000000001,70.63635234906967,70.65645514223195,70.54504377294549,235.0,7888.0,1.0,2.0
49000.0,1.240183915,1.0114980355468061E-7,49000.0,80.43265306122449,70.6228989906451,70.64208946997765,70.52838656133773,247.0,7888.0,1.0,8.0
50000.0,1.256411697,1.0248047921670394E-7,50000.0,80.402,70.57339773857903,70.61064123327934,70.44666284645776,1247.0,7888.0,0.0,2.0
51000.0,1.271848404,1.0374964137794243E-7,51000.0,80.37843137254902,70.53650453492456,70.59100126370235,70.41712241700417,2247.0,7888.0,0.0,5.0
52000.0,1.28723696,1.0501150063528783E-7,52000.0,80.34038461538462,70.48313443055578,70.52021454524483,70.37584398272915,3247.0,7888.0,0.0,5.0
53000.0,1.30263005,1.0627038662909633E-7,53000.0,80.32452830188679,70.45436199724487,70.49402976628375,70.34972988342338,4247.0,7888.0,0.0,5.0
54000.0,1.319133957,1.0762370449922772E-7,54000.0,80.27962962962964,70.38738658165936,70.44079276078389,70.27577736839167,452.0,7888.0,1.0,5.0
55000.0,1.334597959,1.0889511077776344E-7,55000.0,80.24181818181818,70.3316006298452,70.39045257622408,70.21760578820434,1452.0,7888.0,0.0,4.0
56000.0,1.350158613,1.1016563949826484E-7,56000.0,80.27142857142857,70.37225127024912,70.42905703808783,70.27630552342006,2452.0,7888.0,0.0,3.0
57000.0,1.365758725,1.1144145627700414E-7,57000.0,80.28245614035087,70.392417071999,70.42757531903696,70.30176514110559,3452.0,7888.0,0.0,5.0
58000.0,1.381582126,1.1274241131950791E-7,58000.0,80.26896551724137,70.3703456896061,70.38225626957218,70.28921543174619,4452.0,7888.0,0.0,2.0
59000.0,1.397057824,1.1401477920991058E-7,59000.0,80.27118644067797,70.37431114433556,70.37414100279969,70.30233448143896,5452.0,7888.0,0.0,4.0
60000.0,1.413220274,1.1531136419461212E-7,60000.0,80.25999999999999,70.35854841907465,70.3529411764706,70.28898254063817,438.0,7888.0,1.0,3.0
61000.0,1.429875691,1.1668072522712044E-7,61000.0,80.29016393442623,70.40108705780577,70.39836517628521,70.32164103576805,1438.0,7888.0,0.0,7.0
62000.0,1.450072535,1.1833247442307365E-7,62000.0,80.33870967741935,70.46989250795107,70.47353760445681,70.40040793531311,2438.0,7888.0,0.0,1.0
63000.0,1.468973917,1.1987827744660072E-7,63000.0,80.33809523809524,70.46967661089441,70.47832407826688,70.39223653703661,3438.0,7888.0,0.0,0.0
