learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.057744932,5.2548213552269666E-9,1000.0,81.10000000000001,71.73721894234394,72.32796486090776,69.95230524642291,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.144643972,1.355474888458848E-8,2000.0,80.85,71.30614359439623,72.02337472607742,70.12480499219969,2000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.196925454,1.8550545932232506E-8,3000.0,80.76666666666667,71.18780160429516,71.25062282012954,70.21166752710377,3000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.240151046,2.268100047627671E-8,4000.0,80.825,71.28119834909951,71.1545693869876,70.40895061728396,4000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.26975962,2.5510270437945923E-8,5000.0,80.56,70.89242216552833,70.7581227436823,70.03699136868063,5000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.303313785,2.8718022690729964E-8,6000.0,80.80000000000001,71.21651692203959,71.10609480812641,70.61224489795919,6000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.333423378,3.159647652130988E-8,7000.0,80.72857142857143,71.1101144275654,71.08252947481245,70.48785823670968,7000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.36265086,3.4390601221736935E-8,8000.0,80.625,70.95851083674971,70.78778741047871,70.26664108958374,8000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.430377076,4.125245536824068E-8,9000.0,80.35555555555555,70.55209383088943,70.29070744412704,69.97792494481236,9000.0,34376.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.463594238,4.464887266940955E-8,10000.0,80.28,70.42174866621885,70.10309278350515,69.86552567237163,10000.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.495749698,4.7938129671700304E-8,11000.0,80.31818181818183,70.48259732519159,70.23236628626427,69.97226074895978,11000.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.527022427,5.113709006113311E-8,12000.0,80.03333333333333,70.04901411338123,69.89571554215354,69.51653944020356,12000.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
13000.0,0.558505216,5.435753797790657E-8,13000.0,79.92307692307692,69.88234194695985,69.64057229266022,69.38057250117315,13000.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
14000.0,0.596468196,5.8361855083302494E-8,14000.0,79.87142857142857,69.8111819207699,69.5318412801384,69.41610592576514,14000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.627770383,6.166359490563472E-8,15000.0,79.86666666666666,69.80505785410905,69.54109934442762,69.40842787682332,15000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.658485773,6.490343965902096E-8,16000.0,79.86875,69.8007679263435,69.55000945358292,69.39667458432304,16000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
17000.0,0.68926504,6.815002212803811E-8,17000.0,79.87647058823529,69.812993265874,69.60462016881385,69.42532844758243,17000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
18000.0,0.719074097,7.129426730691559E-8,18000.0,79.86111111111111,69.78762086543303,69.52757229320781,69.36274509803923,18000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
19000.0,0.749887652,7.454446645789262E-8,19000.0,79.83684210526316,69.75290731993107,69.4570676871562,69.37160217460826,19000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.780478596,7.777118470628643E-8,20000.0,79.85,69.7690722441083,69.43959960567226,69.3885301936954,20000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
21000.0,0.810776227,8.096828122586633E-8,21000.0,79.8047619047619,69.70323952145098,69.40998268897864,69.33699660183645,21000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
22000.0,0.840431011,8.409754260987664E-8,22000.0,79.75,69.61898044664748,69.38144329896907,69.23130050417846,22000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
23000.0,0.870054456,8.7223497009E-8,23000.0,79.67826086956522,69.51193944549682,69.22367814578259,69.13629160063392,23000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
24000.0,0.899682388,9.034992488976567E-8,24000.0,79.69166666666668,69.53558835816949,69.229797979798,69.22008209662141,24000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
25000.0,0.929520055,9.349848463419203E-8,25000.0,79.676,69.51222146495138,69.21725433175816,69.18925474501243,25000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
26000.0,0.959049828,9.661455448408507E-8,26000.0,79.71923076923076,69.57358425181557,69.28766963713669,69.24467774861476,26000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
27000.0,0.988687164,9.974197470301968E-8,27000.0,79.75555555555556,69.62831269344338,69.37128768351451,69.30592991913747,27000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
28000.0,1.019471673,1.0299044804342297E-7,28000.0,79.77499999999999,69.65601939271315,69.3693206404154,69.30789659097067,28000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
29000.0,1.049104848,1.0611742918120903E-7,29000.0,79.75862068965517,69.6327779046572,69.32162642416641,69.31200334588038,29000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.078363387,1.0920487760926906E-7,30000.0,79.78666666666666,69.67287059732958,69.33812003842847,69.35051806924437,30000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
31000.0,1.098567604,1.1133688693539549E-7,31000.0,79.75806451612904,69.63099887785741,69.32290393546809,69.3154034229829,31000.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
