learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.138289364,1.2863459407000079E-8,1000.0,78.5,67.73583603201806,67.12538226299695,66.56298600311042,760.0,12304.0,1.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.304370631,2.9029083610526808E-8,2000.0,79.0,68.52210141954082,68.25396825396825,67.59259259259261,705.0,12304.0,3.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.429435461,4.120234721441029E-8,3000.0,79.2,68.83835997886602,68.97066136250622,68.22810590631364,444.0,12304.0,3.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.540287862,5.20649615168882E-8,4000.0,78.35,67.58626297590482,67.94966691339748,66.8706962509564,228.0,12304.0,3.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.663758803,6.408308293609571E-8,5000.0,78.68,68.07302304624572,68.122009569378,67.49008844159806,633.0,12304.0,1.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.800770634,7.741921536928044E-8,6000.0,78.86666666666666,68.35719831938792,68.34747878182726,67.78455284552845,613.0,12304.0,1.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.901369331,8.727705187065527E-8,7000.0,78.98571428571428,68.52382517477727,68.70212765957446,68.05646036916394,920.0,12304.0,1.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.026746102,9.953568830957017E-8,8000.0,79.23750000000001,68.89688718886003,69.17223459539719,68.4939301972686,1920.0,12304.0,0.0,53.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.124082922,1.090100286834687E-7,9000.0,79.16666666666666,68.7684110217027,68.95181321410828,68.44496802423426,108.0,12304.0,2.0,39.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.205964633,1.1699816886317814E-7,10000.0,79.29,68.94823705602539,69.18154761904763,68.63546872633653,1108.0,12304.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.298507541,1.2602638423280998E-7,11000.0,79.4090909090909,69.13292777357833,69.38361719383617,68.84456671251719,2108.0,12304.0,0.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.350317494,1.310693384764116E-7,12000.0,79.45,69.18376593458186,69.4764203490531,68.97332662304983,377.0,12304.0,2.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.405306716,1.3642664251888172E-7,13000.0,79.3,68.96021704760992,69.29484253765406,68.72021387887946,357.0,12304.0,1.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.46146703,1.4189304187670973E-7,14000.0,79.27857142857142,68.9234324534843,69.24626311883813,68.71225194132873,1357.0,12304.0,0.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.509810686,1.4659860192955162E-7,15000.0,79.24,68.8613007672626,69.1224590976698,68.60254083484574,190.0,12304.0,2.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.547879547,1.503040583720431E-7,16000.0,79.2875,68.92327196052688,69.13764201899795,68.68562789379193,195.0,12304.0,3.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.609846396,1.5633564045294501E-7,17000.0,79.38823529411765,69.07497384471057,69.26585387246733,68.87546633505063,1195.0,12304.0,0.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.652172851,1.6046488557643984E-7,18000.0,79.41666666666667,69.13327356879716,69.33200893965731,68.87077802050077,309.0,12304.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.700223853,1.650195411689145E-7,19000.0,79.26315789473685,68.90799254482938,69.07621065850404,68.58805708363232,30.0,12304.0,3.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.746438304,1.695178537187477E-7,20000.0,79.27499999999999,68.93358916116684,69.08100850365507,68.57467778620165,486.0,12304.0,1.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.79677697,1.7441759932017575E-7,21000.0,79.36190476190477,69.06825536671157,69.19687277896234,68.69401906963307,1486.0,12304.0,0.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.844465271,1.7905936998339371E-7,22000.0,79.40454545454546,69.1306452736586,69.26885512750948,68.77756339581036,288.0,12304.0,1.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
