learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.113585501,1.0969877665583045E-8,1000.0,78.0,66.84300161263583,66.20583717357911,64.8,1000.0,12304.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.228153127,2.2579485500858475E-8,2000.0,78.14999999999999,67.34321755246009,66.81852695520121,66.17647058823529,2000.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.294629613,2.931582070891435E-8,3000.0,79.33333333333333,69.12074304125153,68.90672016048144,68.2051282051282,3000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.340616692,3.3975880197969574E-8,4000.0,79.57499999999999,69.49111307304872,69.32031543372136,68.60107609531129,4000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.37742743,3.7706063385208446E-8,5000.0,79.62,69.51050203127679,69.2051979449985,68.8474472638337,5000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.416502793,4.166573031983649E-8,6000.0,79.43333333333334,69.27172366497696,68.9403473445759,68.4318239959069,6000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.453217763,4.5386208942513916E-8,7000.0,79.75714285714287,69.75086656341483,69.52032695203269,68.99343544857769,7000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.48952265,4.906513217143715E-8,8000.0,79.85,69.8957821203496,69.70494267994738,69.12468875694312,8000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.53562606,5.3883729583401656E-8,9000.0,79.7,69.64294430984012,69.4021101992966,68.96551724137932,9000.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
10000.0,0.585799847,5.9312586356386965E-8,10000.0,79.35,69.11559600184415,68.86308805790108,68.37672281776418,10000.0,36896.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.625412607,6.322414945879124E-8,11000.0,79.56363636363636,69.43587472115087,69.24760601915185,68.72130235146791,1521.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.671729677,6.794611813816967E-8,12000.0,79.65833333333333,69.58188298113413,69.41486029319634,68.86479591836734,2521.0,12304.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.707468353,7.15896324777955E-8,13000.0,79.65384615384615,69.56456285170478,69.35110081112398,68.90795815211003,3521.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.75514523,7.645023181891483E-8,14000.0,79.58571428571429,69.47473939321958,69.24235901851054,68.76161329107006,4521.0,12304.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.785402237,7.953489670349699E-8,15000.0,79.72666666666667,69.68838604281451,69.49849548645938,68.98204814361486,5521.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.815734658,8.262724995321077E-8,16000.0,79.79375,69.79129192059027,69.60894905057341,69.07995409334353,6521.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.845068791,8.561782896139763E-8,17000.0,79.78235294117647,69.76562499191476,69.55443351935511,69.10006293266206,7521.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.890001859,9.034191067965702E-8,18000.0,79.72222222222223,69.68131630083522,69.4560669456067,68.9863199932025,8521.0,24600.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
19000.0,0.94062905,9.566464954649617E-8,19000.0,79.65789473684211,69.57723870540332,69.39098756632612,68.89586351199098,9521.0,24600.0,0.0,10.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,0.986190775,1.0042898895160814E-7,20000.0,79.69000000000001,69.62311143081045,69.43566591422122,68.92357126463163,10521.0,24600.0,0.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
